ticker,distribution_coverage_status,corporate_action_coverage_status
0226A0,verified_complete,verified_complete
0226D0,verified_complete,verified_complete
0226G0,verified_complete,verified_complete
0227K0,verified_complete,verified_complete
0228G0,verified_complete,verified_complete
0231Z0,verified_complete,verified_complete
0233A0,verified_complete,verified_complete
0233J0,verified_complete,verified_complete
069500,verified_complete,verified_complete
069660,verified_complete,verified_complete
091160,verified_complete,verified_complete
091170,verified_complete,verified_complete
091180,verified_complete,verified_complete
091220,verified_complete,verified_complete
091230,verified_complete,verified_complete
099140,verified_complete,verified_complete
100910,verified_complete,verified_complete
101280,verified_complete,verified_complete
102110,verified_complete,verified_complete
102780,verified_complete,verified_complete
102960,verified_complete,verified_complete
102970,verified_complete,verified_complete
104520,verified_complete,verified_complete
104530,verified_complete,verified_complete
105010,verified_complete,verified_complete
105190,verified_complete,verified_complete
105780,verified_complete,verified_complete
108450,verified_complete,verified_complete
108590,verified_complete,verified_complete
114100,verified_complete,verified_complete
114260,verified_complete,verified_complete
114460,verified_complete,verified_complete
114470,verified_complete,verified_complete
114800,verified_complete,verified_complete
114820,verified_complete,verified_complete
117460,verified_complete,verified_complete
117680,verified_complete,verified_complete
117690,verified_complete,verified_complete
117700,verified_complete,verified_complete
122090,verified_complete,verified_complete
122260,verified_complete,verified_complete
122630,verified_complete,verified_complete
123310,verified_complete,verified_complete
123320,verified_complete,verified_complete
130680,verified_complete,verified_complete
130730,verified_complete,verified_complete
131890,verified_complete,verified_complete
132030,verified_complete,verified_complete
133690,verified_complete,verified_complete
136340,verified_complete,verified_complete
137610,verified_complete,verified_complete
138230,verified_complete,verified_complete
138520,verified_complete,verified_complete
138530,verified_complete,verified_complete
138540,verified_complete,verified_complete
138910,verified_complete,verified_complete
138920,verified_complete,verified_complete
139220,verified_complete,verified_complete
139230,verified_complete,verified_complete
139240,verified_complete,verified_complete
139250,verified_complete,verified_complete
139260,verified_complete,verified_complete
139270,verified_complete,verified_complete
139280,verified_complete,verified_complete
139290,verified_complete,verified_complete
139320,verified_complete,verified_complete
139660,verified_complete,verified_complete
140570,verified_complete,verified_complete
140580,verified_complete,verified_complete
140700,verified_complete,verified_complete
140710,verified_complete,verified_complete
140950,verified_complete,verified_complete
143850,verified_complete,verified_complete
143860,verified_complete,verified_complete
144600,verified_complete,verified_complete
145670,verified_complete,verified_complete
145850,verified_complete,verified_complete
147970,verified_complete,verified_complete
148020,verified_complete,verified_complete
148070,verified_complete,verified_complete
150460,verified_complete,verified_complete
152100,verified_complete,verified_complete
152380,verified_complete,verified_complete
152500,verified_complete,verified_complete
152870,verified_complete,verified_complete
153130,verified_complete,verified_complete
153270,verified_complete,verified_complete
156080,verified_complete,verified_complete
157450,verified_complete,verified_complete
157490,verified_complete,verified_complete
157500,verified_complete,verified_complete
159800,verified_complete,verified_complete
160580,verified_complete,verified_complete
161510,verified_complete,verified_complete
166400,verified_complete,verified_complete
167860,verified_complete,verified_complete
168580,verified_complete,verified_complete
169950,verified_complete,verified_complete
174350,verified_complete,verified_complete
174360,verified_complete,verified_complete
176950,verified_complete,verified_complete
181480,verified_complete,verified_complete
182480,verified_complete,verified_complete
182490,verified_complete,verified_complete
183700,verified_complete,verified_complete
183710,verified_complete,verified_complete
185680,verified_complete,verified_complete
189400,verified_complete,verified_complete
190620,verified_complete,verified_complete
192090,verified_complete,verified_complete
192720,verified_complete,verified_complete
195920,verified_complete,verified_complete
195930,verified_complete,verified_complete
195970,verified_complete,verified_complete
195980,verified_complete,verified_complete
196030,verified_complete,verified_complete
196230,verified_complete,verified_complete
200030,verified_complete,verified_complete
200250,verified_complete,verified_complete
203780,verified_complete,verified_complete
204450,verified_complete,verified_complete
204480,verified_complete,verified_complete
205720,verified_complete,verified_complete
210780,verified_complete,verified_complete
211560,verified_complete,verified_complete
211900,verified_complete,verified_complete
213610,verified_complete,verified_complete
213630,verified_complete,verified_complete
214980,verified_complete,verified_complete
215620,verified_complete,verified_complete
217770,verified_complete,verified_complete
217780,verified_complete,verified_complete
218420,verified_complete,verified_complete
219390,verified_complete,verified_complete
219480,verified_complete,verified_complete
219900,verified_complete,verified_complete
220130,verified_complete,verified_complete
223190,verified_complete,verified_complete
225030,verified_complete,verified_complete
225040,verified_complete,verified_complete
225050,verified_complete,verified_complete
225060,verified_complete,verified_complete
225130,verified_complete,verified_complete
225800,verified_complete,verified_complete
226380,verified_complete,verified_complete
226490,verified_complete,verified_complete
226980,verified_complete,verified_complete
227540,verified_complete,verified_complete
227550,verified_complete,verified_complete
227560,verified_complete,verified_complete
227570,verified_complete,verified_complete
227830,verified_complete,verified_complete
228790,verified_complete,verified_complete
228800,verified_complete,verified_complete
228810,verified_complete,verified_complete
228820,verified_complete,verified_complete
229200,verified_complete,verified_complete
229720,verified_complete,verified_complete
230480,verified_complete,verified_complete
232080,verified_complete,verified_complete
233160,verified_complete,verified_complete
233740,verified_complete,verified_complete
234310,verified_complete,verified_complete
236350,verified_complete,verified_complete
237350,verified_complete,verified_complete
237370,verified_complete,verified_complete
237440,verified_complete,verified_complete
238670,verified_complete,verified_complete
238720,verified_complete,verified_complete
239660,verified_complete,verified_complete
241180,verified_complete,verified_complete
241390,verified_complete,verified_complete
243880,verified_complete,verified_complete
243890,verified_complete,verified_complete
244580,verified_complete,verified_complete
244620,verified_complete,verified_complete
244660,verified_complete,verified_complete
244670,verified_complete,verified_complete
245340,verified_complete,verified_complete
245350,verified_complete,verified_complete
245360,verified_complete,verified_complete
245710,verified_complete,verified_complete
248270,verified_complete,verified_complete
250730,verified_complete,verified_complete
250780,verified_complete,verified_complete
251340,verified_complete,verified_complete
251350,verified_complete,verified_complete
251590,verified_complete,verified_complete
251600,verified_complete,verified_complete
252000,verified_complete,verified_complete
252400,verified_complete,verified_complete
252410,verified_complete,verified_complete
252420,verified_complete,verified_complete
252650,verified_complete,verified_complete
252670,verified_complete,verified_complete
252710,verified_complete,verified_complete
253150,verified_complete,verified_complete
253160,verified_complete,verified_complete
253230,verified_complete,verified_complete
253240,verified_complete,verified_complete
253250,verified_complete,verified_complete
253280,verified_complete,verified_complete
253290,verified_complete,verified_complete
256440,verified_complete,verified_complete
256450,verified_complete,verified_complete
256750,verified_complete,verified_complete
261060,verified_complete,verified_complete
261070,verified_complete,verified_complete
261110,verified_complete,verified_complete
261120,verified_complete,verified_complete
261140,verified_complete,verified_complete
261220,verified_complete,verified_complete
261240,verified_complete,verified_complete
261250,verified_complete,verified_complete
261260,verified_complete,verified_complete
261270,verified_complete,verified_complete
261920,verified_complete,verified_complete
265690,verified_complete,verified_complete
266160,verified_complete,verified_complete
266360,verified_complete,verified_complete
266370,verified_complete,verified_complete
266390,verified_complete,verified_complete
266410,verified_complete,verified_complete
266420,verified_complete,verified_complete
266550,verified_complete,verified_complete
267440,verified_complete,verified_complete
267450,verified_complete,verified_complete
267490,verified_complete,verified_complete
267770,verified_complete,verified_complete
269370,verified_complete,verified_complete
269420,verified_complete,verified_complete
269530,verified_complete,verified_complete
269540,verified_complete,verified_complete
270800,verified_complete,verified_complete
270810,verified_complete,verified_complete
271050,verified_complete,verified_complete
271060,verified_complete,verified_complete
272560,verified_complete,verified_complete
272570,verified_complete,verified_complete
272580,verified_complete,verified_complete
272910,verified_complete,verified_complete
273130,verified_complete,verified_complete
273140,verified_complete,verified_complete
275280,verified_complete,verified_complete
275290,verified_complete,verified_complete
275300,verified_complete,verified_complete
275750,verified_complete,verified_complete
275980,verified_complete,verified_complete
276000,verified_complete,verified_complete
276650,verified_complete,verified_complete
276970,verified_complete,verified_complete
276990,verified_complete,verified_complete
277540,verified_complete,verified_complete
277630,verified_complete,verified_complete
277640,verified_complete,verified_complete
277650,verified_complete,verified_complete
278240,verified_complete,verified_complete
278530,verified_complete,verified_complete
278540,verified_complete,verified_complete
278620,verified_complete,verified_complete
279530,verified_complete,verified_complete
279540,verified_complete,verified_complete
280320,verified_complete,verified_complete
280920,verified_complete,verified_complete
280930,verified_complete,verified_complete
280940,verified_complete,verified_complete
281990,verified_complete,verified_complete
282000,verified_complete,verified_complete
283580,verified_complete,verified_complete
284430,verified_complete,verified_complete
284980,verified_complete,verified_complete
285690,verified_complete,verified_complete
287180,verified_complete,verified_complete
289040,verified_complete,verified_complete
289250,verified_complete,verified_complete
289260,verified_complete,verified_complete
289480,verified_complete,verified_complete
289670,verified_complete,verified_complete
290080,verified_complete,verified_complete
290130,verified_complete,verified_complete
291130,verified_complete,verified_complete
291620,verified_complete,verified_complete
291630,verified_complete,verified_complete
291680,verified_complete,verified_complete
291890,verified_complete,verified_complete
292050,verified_complete,verified_complete
292150,verified_complete,verified_complete
292160,verified_complete,verified_complete
292190,verified_complete,verified_complete
292500,verified_complete,verified_complete
292560,verified_complete,verified_complete
292770,verified_complete,verified_complete
293180,verified_complete,verified_complete
294400,verified_complete,verified_complete
295000,verified_complete,verified_complete
295020,verified_complete,verified_complete
295040,verified_complete,verified_complete
298340,verified_complete,verified_complete
298770,verified_complete,verified_complete
300610,verified_complete,verified_complete
300640,verified_complete,verified_complete
300950,verified_complete,verified_complete
301400,verified_complete,verified_complete
302190,verified_complete,verified_complete
302450,verified_complete,verified_complete
304660,verified_complete,verified_complete
304670,verified_complete,verified_complete
304760,verified_complete,verified_complete
304770,verified_complete,verified_complete
304780,verified_complete,verified_complete
304940,verified_complete,verified_complete
305050,verified_complete,verified_complete
305080,verified_complete,verified_complete
305540,verified_complete,verified_complete
305720,verified_complete,verified_complete
306520,verified_complete,verified_complete
306530,verified_complete,verified_complete
306950,verified_complete,verified_complete
307510,verified_complete,verified_complete
307520,verified_complete,verified_complete
308620,verified_complete,verified_complete
309230,verified_complete,verified_complete
310080,verified_complete,verified_complete
310960,verified_complete,verified_complete
310970,verified_complete,verified_complete
314250,verified_complete,verified_complete
314700,verified_complete,verified_complete
315270,verified_complete,verified_complete
315930,verified_complete,verified_complete
315960,verified_complete,verified_complete
316300,verified_complete,verified_complete
316670,verified_complete,verified_complete
319640,verified_complete,verified_complete
321410,verified_complete,verified_complete
322400,verified_complete,verified_complete
322410,verified_complete,verified_complete
325010,verified_complete,verified_complete
325020,verified_complete,verified_complete
326230,verified_complete,verified_complete
326240,verified_complete,verified_complete
328370,verified_complete,verified_complete
329200,verified_complete,verified_complete
329650,verified_complete,verified_complete
329660,verified_complete,verified_complete
329670,verified_complete,verified_complete
329750,verified_complete,verified_complete
332500,verified_complete,verified_complete
332610,verified_complete,verified_complete
332620,verified_complete,verified_complete
332930,verified_complete,verified_complete
332940,verified_complete,verified_complete
334690,verified_complete,verified_complete
334700,verified_complete,verified_complete
336160,verified_complete,verified_complete
337120,verified_complete,verified_complete
337140,verified_complete,verified_complete
337150,verified_complete,verified_complete
337160,verified_complete,verified_complete
341850,verified_complete,verified_complete
352540,verified_complete,verified_complete
352560,verified_complete,verified_complete
354240,verified_complete,verified_complete
354350,verified_complete,verified_complete
354500,verified_complete,verified_complete
356540,verified_complete,verified_complete
357870,verified_complete,verified_complete
359210,verified_complete,verified_complete
360140,verified_complete,verified_complete
360150,verified_complete,verified_complete
360200,verified_complete,verified_complete
360750,verified_complete,verified_complete
361580,verified_complete,verified_complete
363510,verified_complete,verified_complete
363570,verified_complete,verified_complete
363580,verified_complete,verified_complete
364690,verified_complete,verified_complete
364960,verified_complete,verified_complete
364970,verified_complete,verified_complete
364980,verified_complete,verified_complete
364990,verified_complete,verified_complete
365000,verified_complete,verified_complete
365040,verified_complete,verified_complete
365780,verified_complete,verified_complete
367380,verified_complete,verified_complete
367740,verified_complete,verified_complete
367760,verified_complete,verified_complete
367770,verified_complete,verified_complete
368190,verified_complete,verified_complete
368590,verified_complete,verified_complete
368680,verified_complete,verified_complete
371150,verified_complete,verified_complete
371160,verified_complete,verified_complete
371450,verified_complete,verified_complete
371460,verified_complete,verified_complete
371470,verified_complete,verified_complete
371870,verified_complete,verified_complete
372330,verified_complete,verified_complete
373490,verified_complete,verified_complete
373790,verified_complete,verified_complete
375270,verified_complete,verified_complete
375760,verified_complete,verified_complete
375770,verified_complete,verified_complete
376410,verified_complete,verified_complete
377990,verified_complete,verified_complete
379780,verified_complete,verified_complete
379790,verified_complete,verified_complete
379800,verified_complete,verified_complete
379810,verified_complete,verified_complete
380340,verified_complete,verified_complete
381170,verified_complete,verified_complete
381180,verified_complete,verified_complete
381560,verified_complete,verified_complete
381570,verified_complete,verified_complete
385510,verified_complete,verified_complete
385520,verified_complete,verified_complete
385540,verified_complete,verified_complete
385550,verified_complete,verified_complete
385560,verified_complete,verified_complete
385590,verified_complete,verified_complete
385600,verified_complete,verified_complete
385710,verified_complete,verified_complete
385720,verified_complete,verified_complete
387270,verified_complete,verified_complete
387280,verified_complete,verified_complete
388280,verified_complete,verified_complete
388420,verified_complete,verified_complete
390390,verified_complete,verified_complete
390400,verified_complete,verified_complete
391600,verified_complete,verified_complete
391670,verified_complete,verified_complete
394660,verified_complete,verified_complete
394670,verified_complete,verified_complete
395150,verified_complete,verified_complete
395160,verified_complete,verified_complete
395170,verified_complete,verified_complete
395270,verified_complete,verified_complete
395280,verified_complete,verified_complete
395290,verified_complete,verified_complete
395750,verified_complete,verified_complete
395760,verified_complete,verified_complete
396500,verified_complete,verified_complete
396510,verified_complete,verified_complete
396520,verified_complete,verified_complete
399110,verified_complete,verified_complete
399580,verified_complete,verified_complete
400570,verified_complete,verified_complete
400580,verified_complete,verified_complete
400590,verified_complete,verified_complete
400970,verified_complete,verified_complete
401170,verified_complete,verified_complete
401470,verified_complete,verified_complete
401590,verified_complete,verified_complete
402460,verified_complete,verified_complete
402970,verified_complete,verified_complete
403790,verified_complete,verified_complete
404120,verified_complete,verified_complete
404260,verified_complete,verified_complete
404540,verified_complete,verified_complete
404650,verified_complete,verified_complete
407300,verified_complete,verified_complete
407310,verified_complete,verified_complete
407820,verified_complete,verified_complete
407830,verified_complete,verified_complete
409810,verified_complete,verified_complete
409820,verified_complete,verified_complete
410870,verified_complete,verified_complete
411060,verified_complete,verified_complete
411420,verified_complete,verified_complete
411540,verified_complete,verified_complete
411860,verified_complete,verified_complete
412560,verified_complete,verified_complete
412570,verified_complete,verified_complete
412770,verified_complete,verified_complete
413220,verified_complete,verified_complete
413930,verified_complete,verified_complete
414270,verified_complete,verified_complete
414780,verified_complete,verified_complete
415340,verified_complete,verified_complete
415760,verified_complete,verified_complete
415920,verified_complete,verified_complete
416090,verified_complete,verified_complete
417450,verified_complete,verified_complete
417630,verified_complete,verified_complete
418660,verified_complete,verified_complete
418670,verified_complete,verified_complete
419420,verified_complete,verified_complete
419430,verified_complete,verified_complete
419650,verified_complete,verified_complete
419890,verified_complete,verified_complete
421320,verified_complete,verified_complete
422420,verified_complete,verified_complete
423160,verified_complete,verified_complete
423170,verified_complete,verified_complete
423920,verified_complete,verified_complete
426020,verified_complete,verified_complete
426030,verified_complete,verified_complete
426150,verified_complete,verified_complete
427120,verified_complete,verified_complete
428510,verified_complete,verified_complete
428560,verified_complete,verified_complete
429000,verified_complete,verified_complete
429010,verified_complete,verified_complete
429740,verified_complete,verified_complete
429760,verified_complete,verified_complete
429980,verified_complete,verified_complete
430500,verified_complete,verified_complete
432600,verified_complete,verified_complete
432840,verified_complete,verified_complete
433220,verified_complete,verified_complete
433250,verified_complete,verified_complete
433330,verified_complete,verified_complete
433500,verified_complete,verified_complete
433880,verified_complete,verified_complete
433970,verified_complete,verified_complete
433980,verified_complete,verified_complete
434060,verified_complete,verified_complete
434730,verified_complete,verified_complete
434960,verified_complete,verified_complete
435040,verified_complete,verified_complete
435420,verified_complete,verified_complete
435530,verified_complete,verified_complete
435540,verified_complete,verified_complete
435550,verified_complete,verified_complete
436140,verified_complete,verified_complete
437070,verified_complete,verified_complete
437080,verified_complete,verified_complete
437350,verified_complete,verified_complete
437370,verified_complete,verified_complete
438080,verified_complete,verified_complete
438100,verified_complete,verified_complete
438320,verified_complete,verified_complete
438330,verified_complete,verified_complete
438560,verified_complete,verified_complete
438570,verified_complete,verified_complete
438740,verified_complete,verified_complete
438900,verified_complete,verified_complete
439860,verified_complete,verified_complete
439870,verified_complete,verified_complete
440340,verified_complete,verified_complete
440640,verified_complete,verified_complete
440650,verified_complete,verified_complete
440910,verified_complete,verified_complete
441540,verified_complete,verified_complete
441640,verified_complete,verified_complete
441680,verified_complete,verified_complete
441800,verified_complete,verified_complete
442090,verified_complete,verified_complete
442260,verified_complete,verified_complete
442320,verified_complete,verified_complete
442550,verified_complete,verified_complete
442560,verified_complete,verified_complete
442570,verified_complete,verified_complete
442580,verified_complete,verified_complete
444200,verified_complete,verified_complete
444490,verified_complete,verified_complete
445150,verified_complete,verified_complete
445290,verified_complete,verified_complete
445690,verified_complete,verified_complete
445910,verified_complete,verified_complete
446690,verified_complete,verified_complete
446700,verified_complete,verified_complete
446720,verified_complete,verified_complete
446770,verified_complete,verified_complete
447430,verified_complete,verified_complete
447620,verified_complete,verified_complete
447660,verified_complete,verified_complete
447770,verified_complete,verified_complete
448100,verified_complete,verified_complete
448290,verified_complete,verified_complete
448300,verified_complete,verified_complete
448330,verified_complete,verified_complete
448490,verified_complete,verified_complete
448540,verified_complete,verified_complete
448570,verified_complete,verified_complete
448630,verified_complete,verified_complete
449170,verified_complete,verified_complete
449180,verified_complete,verified_complete
449190,verified_complete,verified_complete
449450,verified_complete,verified_complete
449580,verified_complete,verified_complete
449680,verified_complete,verified_complete
449690,verified_complete,verified_complete
449770,verified_complete,verified_complete
449780,verified_complete,verified_complete
450180,verified_complete,verified_complete
450190,verified_complete,verified_complete
450910,verified_complete,verified_complete
451000,verified_complete,verified_complete
451060,verified_complete,verified_complete
451150,verified_complete,verified_complete
451530,verified_complete,verified_complete
451540,verified_complete,verified_complete
451600,verified_complete,verified_complete
451670,verified_complete,verified_complete
452250,verified_complete,verified_complete
452360,verified_complete,verified_complete
453010,verified_complete,verified_complete
