ticker,isin,name,listing_date,existing_anchor_close,official_reference_price,verification_status,source_receipt_no,source_url,reason,checked_at
0194N0,KR70194N0003,KIWOOM 삼성전자선물단일종목레버리지,2026-05-27,21085,20000,official_verified,20260526000918,https://kind.krx.co.kr/external/2026/05/26/000918/20260526001982/99401.htm,KRX KIND listing-reference-price notice verified.,2026-08-18T07:00:46+09:00
0194R0,KR70194R0009,KIWOOM SK하이닉스선물단일종목레버리지,2026-05-27,23845,20000,official_verified,20260526000920,https://kind.krx.co.kr/external/2026/05/26/000920/20260526001984/99401.htm,KRX KIND listing-reference-price notice verified.,2026-08-18T07:00:46+09:00
0194T0,KR70194T0007,ACE SK하이닉스단일종목레버리지,2026-05-27,23720,19995,official_verified,20260526000933,https://kind.krx.co.kr/external/2026/05/26/000933/20260526002001/99401.htm,KRX KIND listing-reference-price notice verified.,2026-08-18T07:00:46+09:00
0195R0,KR70195R0008,TIGER 삼성전자단일종목레버리지,2026-05-27,21080,19975,official_verified,20260526000931,https://kind.krx.co.kr/external/2026/05/26/000931/20260526001998/99401.htm,KRX KIND listing-reference-price notice verified.,2026-08-18T07:00:46+09:00
0195S0,KR70195S0007,TIGER SK하이닉스단일종목레버리지,2026-05-27,23695,19985,official_verified,20260526000932,https://kind.krx.co.kr/external/2026/05/26/000932/20260526001999/99401.htm,KRX KIND listing-reference-price notice verified.,2026-08-18T07:00:46+09:00
0197W0,KR70197W0009,SOL SK하이닉스단일종목레버리지,2026-05-27,23750,19995,official_verified,20260526000926,https://kind.krx.co.kr/external/2026/05/26/000926/20260526001992/99401.htm,KRX KIND listing-reference-price notice verified.,2026-08-18T07:00:46+09:00
0197X0,KR70197X0008,SOL SK하이닉스선물단일종목인버스2X,2026-05-27,16265,20005,official_verified,20260526000928,https://kind.krx.co.kr/external/2026/05/26/000928/20260526001994/99401.htm,KRX KIND listing-reference-price notice verified.,2026-08-18T07:00:46+09:00
0198A0,KR70198A0004,KIWOOM 코스닥150커버드콜액티브,2026-06-30,10555,10575,official_verified,20260629001353,https://kind.krx.co.kr/external/2026/06/29/001353/20260629002648/99401.htm,KRX KIND listing-reference-price notice verified.,2026-08-18T07:00:46+09:00
0198B0,KR70198B0003,1Q 삼성전자선물단일종목레버리지,2026-05-27,22195,20945,official_verified,20260526000925,https://kind.krx.co.kr/external/2026/05/26/000925/20260526001991/99401.htm,KRX KIND listing-reference-price notice verified.,2026-08-18T07:00:46+09:00
0198D0,KR70198D0001,1Q SK하이닉스선물단일종목레버리지,2026-05-27,26830,22460,official_verified,20260526000927,https://kind.krx.co.kr/external/2026/05/26/000927/20260526001993/99401.htm,KRX KIND listing-reference-price notice verified.,2026-08-18T07:00:46+09:00
0199C0,KR70199C0001,ACE 고배당주Plus커버드콜액티브,2026-06-02,10290,10145,official_verified,20260601001983,https://kind.krx.co.kr/external/2026/06/01/001983/20260601003121/99401.htm,KRX KIND listing-reference-price notice verified.,2026-08-18T07:00:46+09:00
0203D0,KR70203D0004,PLUS 200위클리커버드콜채권혼합,2026-06-02,10430,10365,official_verified,20260601001981,https://kind.krx.co.kr/external/2026/06/01/001981/20260601003119/99401.htm,KRX KIND listing-reference-price notice verified.,2026-08-18T07:00:46+09:00
0203R0,KR70203R0008,WON 중단기종합채권(A-이상)액티브,2026-06-02,49955,49975,official_verified,20260601001978,https://kind.krx.co.kr/external/2026/06/01/001978/20260601003116/99401.htm,KRX KIND listing-reference-price notice verified.,2026-08-18T07:00:46+09:00
0203S0,KR70203S0007,WON 삼성전자현대차채권혼합50,2026-06-02,10615,10590,official_verified,20260601001979,https://kind.krx.co.kr/external/2026/06/01/001979/20260601003117/99401.htm,KRX KIND listing-reference-price notice verified.,2026-08-18T07:00:46+09:00
0204D0,KR70204D0003,KODEX 현대차로보틱스밸류체인TOP3플러스,2026-06-09,8500,8420,official_verified,20260608001076,https://kind.krx.co.kr/external/2026/06/08/001076/20260608002148/99401.htm,KRX KIND listing-reference-price notice verified.,2026-08-18T07:00:46+09:00
0204S0,KR70204S0006,TIGER 코스닥액티브,2026-06-02,8880,9065,official_verified,20260601001982,https://kind.krx.co.kr/external/2026/06/01/001982/20260601003120/99401.htm,KRX KIND listing-reference-price notice verified.,2026-08-18T07:00:46+09:00
0206G0,KR70206G0008,1Q 현대차기아채권혼합50,2026-06-09,9650,9440,official_verified,20260608001077,https://kind.krx.co.kr/external/2026/06/08/001077/20260608002153/99401.htm,KRX KIND listing-reference-price notice verified.,2026-08-18T07:00:46+09:00
0207G0,KR70207G0007,SOL 우주항공밸류체인,2026-06-16,10275,10170,official_verified,20260615000968,https://kind.krx.co.kr/external/2026/06/15/000968/20260615001879/99401.htm,KRX KIND listing-reference-price notice verified.,2026-08-18T07:00:46+09:00
0207Z0,KR70207Z0004,KIWOOM 미국우주데이터센터인프라,2026-06-16,10245,10000,official_verified,20260615000969,https://kind.krx.co.kr/external/2026/06/15/000969/20260615001878/99401.htm,KRX KIND listing-reference-price notice verified.,2026-08-18T07:00:46+09:00
0208N0,KR70208N0007,IBK 코스피액티브,2026-06-23,9545,10580,official_verified,20260622000888,https://kind.krx.co.kr/external/2026/06/22/000888/20260622001928/99401.htm,KRX KIND listing-reference-price notice verified.,2026-08-18T07:00:46+09:00
0209D0,KR70209D0008,KODEX 전고체배터리ESS TOP2플러스,2026-06-23,8580,9380,official_verified,20260622000889,https://kind.krx.co.kr/external/2026/06/22/000889/20260622001930/99401.htm,KRX KIND listing-reference-price notice verified.,2026-08-18T07:00:46+09:00
0209Z0,KR70209Z0002,ACE 코리아AI전력TOP10,2026-06-23,8650,9290,official_verified,20260622000887,https://kind.krx.co.kr/external/2026/06/22/000887/20260622001927/99401.htm,KRX KIND listing-reference-price notice verified.,2026-08-18T07:00:46+09:00
0210A0,KR70210A0008,ACE K반도체TOP2+,2026-06-23,10100,11180,official_verified,20260622000886,https://kind.krx.co.kr/external/2026/06/22/000886/20260622001926/99401.htm,KRX KIND listing-reference-price notice verified.,2026-08-18T07:00:46+09:00
0210E0,KR70210E0004,PLUS 200커버드콜액티브,2026-06-23,9425,10410,official_verified,20260622000885,https://kind.krx.co.kr/external/2026/06/22/000885/20260622001925/99401.htm,KRX KIND listing-reference-price notice verified.,2026-08-18T07:00:46+09:00
0214M0,KR70214M0000,MIDAS 바이오헬스케어액티브,2026-07-28,10050,10475,official_verified,20260727000813,https://kind.krx.co.kr/external/2026/07/27/000813/20260727001858/99401.htm,KRX KIND listing-reference-price notice verified.,2026-08-18T07:00:46+09:00
0215T0,KR70215T0002,HANARO 미국AI광통신TOP10,2026-07-14,9525,9990,official_verified,20260713000882,https://kind.krx.co.kr/external/2026/07/13/000882/20260713001850/99401.htm,KRX KIND listing-reference-price notice verified.,2026-08-18T07:00:46+09:00
0216K0,KR70216K0000,KIWOOM 미국우주테크TOP2채권혼합50,2026-07-07,9890,10000,official_verified,20260706000908,https://kind.krx.co.kr/external/2026/07/06/000908/20260706001995/99401.htm,KRX KIND listing-reference-price notice verified.,2026-08-18T07:00:46+09:00
0216Z0,KR70216Z0003,ACE K방산TOP5+,2026-07-07,9770,10275,official_verified,20260706000907,https://kind.krx.co.kr/external/2026/07/06/000907/20260706001994/99401.htm,KRX KIND listing-reference-price notice verified.,2026-08-18T07:00:46+09:00
0218J0,KR70218J0001,RISE 미국우주&로봇TOP2미국채혼합50,2026-07-14,9695,9995,official_verified,20260713000881,https://kind.krx.co.kr/external/2026/07/13/000881/20260713001849/99401.htm,KRX KIND listing-reference-price notice verified.,2026-08-18T07:00:46+09:00
0218K0,KR70218K0008,BNK 스마트카,2026-07-21,9985,9700,official_verified,20260720000822,https://kind.krx.co.kr/external/2026/07/20/000822/20260720001849/99401.htm,KRX KIND listing-reference-price notice verified.,2026-08-18T07:00:46+09:00
0219B0,KR70219B0008,KoAct 광통신&위성네트워크액티브,2026-07-14,9805,10170,official_verified,20260713000885,https://kind.krx.co.kr/external/2026/07/13/000885/20260713001853/99401.htm,KRX KIND listing-reference-price notice verified.,2026-08-18T07:00:46+09:00
0219E0,KR70219E0005,KODEX 200커버드콜액티브,2026-07-14,8910,8745,official_verified,20260713000884,https://kind.krx.co.kr/external/2026/07/13/000884/20260713001852/99401.htm,KRX KIND listing-reference-price notice verified.,2026-08-18T07:00:46+09:00
0219Z0,KR70219Z0000,HANARO 미국S&P500액티브,2026-08-04,10450,9995,official_verified,20260803001087,https://kind.krx.co.kr/external/2026/08/03/001087/20260803002346/99401.htm,KRX KIND listing-reference-price notice verified.,2026-08-18T07:00:46+09:00
0220A0,KR70220A0006,KIWOOM 현대차그룹TOP3채권혼합50,2026-07-14,9590,9765,official_verified,20260713000883,https://kind.krx.co.kr/external/2026/07/13/000883/20260713001851/99401.htm,KRX KIND listing-reference-price notice verified.,2026-08-18T07:00:46+09:00
0220B0,KR70220B0005,DS 코스닥액티브,2026-07-14,11715,11320,official_verified,20260713000886,https://kind.krx.co.kr/external/2026/07/13/000886/20260713001854/99401.htm,KRX KIND listing-reference-price notice verified.,2026-08-18T07:00:46+09:00
0221V0,KR70221V0000,IBK 초단기채권액티브,2026-07-21,100030,100025,official_verified,20260720000820,https://kind.krx.co.kr/external/2026/07/20/000820/20260720001847/99401.htm,KRX KIND listing-reference-price notice verified.,2026-08-18T07:00:46+09:00
0221Z0,KR70221Z0006,ACE K바이오코스닥액티브,2026-07-21,9495,9665,official_verified,20260720000821,https://kind.krx.co.kr/external/2026/07/20/000821/20260720001848/99401.htm,KRX KIND listing-reference-price notice verified.,2026-08-18T07:00:46+09:00
0222D0,KR70222D0001,KoAct 고배당액티브,2026-07-28,9940,10330,official_verified,20260727000812,https://kind.krx.co.kr/external/2026/07/27/000812/20260727001859/99401.htm,KRX KIND listing-reference-price notice verified.,2026-08-18T07:00:46+09:00
0222F0,KR70222F0009,마이티 AI데이터센터밸류체인,2026-08-04,11735,11090,official_verified,20260803001090,https://kind.krx.co.kr/external/2026/08/03/001090/20260803002349/99401.htm,KRX KIND listing-reference-price notice verified.,2026-08-18T07:00:46+09:00
0223A0,KR70223A0003,RISE 코스닥커버드콜액티브,2026-07-28,8830,9855,official_verified,20260727000814,https://kind.krx.co.kr/external/2026/07/27/000814/20260727001855/99401.htm,KRX KIND listing-reference-price notice verified.,2026-08-18T07:00:46+09:00
0223R0,KR70223R0004,TIGER 미국테크NYSE100액티브,2026-07-21,10065,10000,official_verified,20260720000819,https://kind.krx.co.kr/external/2026/07/20/000819/20260720001846/99401.htm,KRX KIND listing-reference-price notice verified.,2026-08-18T07:00:46+09:00
0224D0,KR70224D0009,KIWOOM 미국CPU반도체TOP4+,2026-07-28,9610,10000,official_verified,20260727000815,https://kind.krx.co.kr/external/2026/07/27/000815/20260727001854/99401.htm,KRX KIND listing-reference-price notice verified.,2026-08-18T07:00:46+09:00
0224X0,KR70224X0005,1Q 엔비디아알파벳미국채혼합50,2026-07-28,9845,10010,official_verified,20260727000816,https://kind.krx.co.kr/external/2026/07/27/000816/20260727001860/99401.htm,KRX KIND listing-reference-price notice verified.,2026-08-18T07:00:46+09:00
0225V0,KR70225V0006,KODEX 미국CPU반도체TOP10,2026-08-04,9965,9965,official_verified,20260803001089,https://kind.krx.co.kr/external/2026/08/03/001089/20260803002348/99401.htm,KRX KIND listing-reference-price notice verified.,2026-08-18T07:00:46+09:00
0226A0,KR70226A0000,PLUS SK하이닉스샌디스크채권혼합50,2026-08-04,10195,10000,official_verified,20260803001088,https://kind.krx.co.kr/external/2026/08/03/001088/20260803002347/99401.htm,KRX KIND listing-reference-price notice verified.,2026-08-18T07:00:46+09:00
0226G0,KR70226G0004,WON 피지컬AI TOP2플러스액티브,2026-08-04,11705,11510,official_verified,20260803001086,https://kind.krx.co.kr/external/2026/08/03/001086/20260803002345/99401.htm,KRX KIND listing-reference-price notice verified.,2026-08-18T07:00:46+09:00
