ticker,isin,name,amc,asset_class,pension_eligible,pension_limit,pension_verified,pension_confidence,source_type,source_url,evidence_ref,statutory_basis,audit_check_method,audit_notes,verified_at,audit_status
0005D0,KR70005D0004,SOL 전고체배터리&실리콘음극재,신한자산운용,주식-국내,가능,70% (위험자산),Y,높음,협회공시대조,https://dis.kofia.or.kr/websquare/index.jsp?w2xPath=/wq/fundann/DISFundFeeCMS.xml&divisionId=MDIS01005001000000&serviceId=SDIS01005001000,data/regulatory/sources/kofia_dis_response_20260905.xml,퇴직연금감독규정 제12조 제1항 제1호 및 제4항 (주식형 집합투자증권 위험자산 70% 한도),금융투자협회 전자공시서비스(DIS) 표준 펀드유형 '주식형' XML 전수 대조,KOFIA 펀드유형: 주식형 (퇴직연금감독규정 제12조 제1항 제1호 및 제4항: 주식형 집합투자증권은 위험자산에 해당하며 70% 한도 편입 가능),2026-09-05,PASS (공식 검증 완료)
0005G0,KR70005G0001,IBK K-AI반도체코어테크,IBK자산운용,주식-국내,가능,70% (위험자산),Y,높음,협회공시대조,https://dis.kofia.or.kr/websquare/index.jsp?w2xPath=/wq/fundann/DISFundFeeCMS.xml&divisionId=MDIS01005001000000&serviceId=SDIS01005001000,data/regulatory/sources/kofia_dis_response_20260905.xml,퇴직연금감독규정 제12조 제1항 제1호 및 제4항 (주식형 집합투자증권 위험자산 70% 한도),금융투자협회 전자공시서비스(DIS) 표준 펀드유형 '주식형' XML 전수 대조,KOFIA 펀드유형: 주식형 (퇴직연금감독규정 제12조 제1항 제1호 및 제4항: 주식형 집합투자증권은 위험자산에 해당하며 70% 한도 편입 가능),2026-09-05,PASS (공식 검증 완료)
0007F0,KR70007F0000,KODEX 27-12 회사채(AA-이상)액티브,삼성자산운용,채권,가능,100% (안전자산),Y,높음,협회공시대조,https://dis.kofia.or.kr/websquare/index.jsp?w2xPath=/wq/fundann/DISFundFeeCMS.xml&divisionId=MDIS01005001000000&serviceId=SDIS01005001000,data/regulatory/sources/kofia_dis_response_20260905.xml,퇴직연금감독규정 제12조 제1항 제2호 (채권형 및 원리금보장형 안전자산 100% 한도),금융투자협회 전자공시서비스(DIS) 표준 펀드유형 '채권형' XML 전수 대조,KOFIA 펀드유형: 채권형 (퇴직연금감독규정 제12조 제1항 제2호: 주식을 편입하지 아니하는 채권형 집합투자증권은 안전자산 (100% 편입 가능)),2026-09-05,PASS (공식 검증 완료)
0007G0,KR70007G0009,PLUS 글로벌원자력밸류체인,한화자산운용,주식-해외,가능,70% (위험자산),Y,높음,협회공시대조,https://dis.kofia.or.kr/websquare/index.jsp?w2xPath=/wq/fundann/DISFundFeeCMS.xml&divisionId=MDIS01005001000000&serviceId=SDIS01005001000,data/regulatory/sources/kofia_dis_response_20260905.xml,퇴직연금감독규정 제12조 제1항 제1호 및 제4항 (주식형 집합투자증권 위험자산 70% 한도),금융투자협회 전자공시서비스(DIS) 표준 펀드유형 '주식형' XML 전수 대조,KOFIA 펀드유형: 주식형 (퇴직연금감독규정 제12조 제1항 제1호 및 제4항: 주식형 집합투자증권은 위험자산에 해당하며 70% 한도 편입 가능),2026-09-05,PASS (공식 검증 완료)
0007N0,KR70007N0000,아이엠에셋 200,기타,주식-국내,가능,70% (위험자산),Y,높음,협회공시대조,https://dis.kofia.or.kr/websquare/index.jsp?w2xPath=/wq/fundann/DISFundFeeCMS.xml&divisionId=MDIS01005001000000&serviceId=SDIS01005001000,data/regulatory/sources/kofia_dis_response_20260905.xml,퇴직연금감독규정 제12조 제1항 제1호 및 제4항 (주식형 집합투자증권 위험자산 70% 한도),금융투자협회 전자공시서비스(DIS) 표준 펀드유형 '주식형' XML 전수 대조,KOFIA 펀드유형: 주식형 (퇴직연금감독규정 제12조 제1항 제1호 및 제4항: 주식형 집합투자증권은 위험자산에 해당하며 70% 한도 편입 가능),2026-09-05,PASS (공식 검증 완료)
0008E0,KR70008E0000,ACE 미국중심중소형제조업,한국투자신탁운용,주식-해외,가능,70% (위험자산),Y,높음,협회공시대조,https://dis.kofia.or.kr/websquare/index.jsp?w2xPath=/wq/fundann/DISFundFeeCMS.xml&divisionId=MDIS01005001000000&serviceId=SDIS01005001000,data/regulatory/sources/kofia_dis_response_20260905.xml,퇴직연금감독규정 제12조 제1항 제1호 및 제4항 (주식형 집합투자증권 위험자산 70% 한도),금융투자협회 전자공시서비스(DIS) 표준 펀드유형 '주식형' XML 전수 대조,KOFIA 펀드유형: 주식형 (퇴직연금감독규정 제12조 제1항 제1호 및 제4항: 주식형 집합투자증권은 위험자산에 해당하며 70% 한도 편입 가능),2026-09-05,PASS (공식 검증 완료)
0008S0,KR70008S0004,TIGER 미국배당다우존스타겟데일리커버드콜,미래에셋자산운용,주식-해외,가능,70% (위험자산),Y,높음,협회공시대조,https://dis.kofia.or.kr/websquare/index.jsp?w2xPath=/wq/fundann/DISFundFeeCMS.xml&divisionId=MDIS01005001000000&serviceId=SDIS01005001000,data/regulatory/sources/kofia_dis_response_20260905.xml,퇴직연금감독규정 제12조 제1항 제1호 및 제4항 (주식형 집합투자증권 위험자산 70% 한도),금융투자협회 전자공시서비스(DIS) 표준 펀드유형 '주식형' XML 전수 대조,KOFIA 펀드유형: 주식형 (퇴직연금감독규정 제12조 제1항 제1호 및 제4항: 주식형 집합투자증권은 위험자산에 해당하며 70% 한도 편입 가능),2026-09-05,PASS (공식 검증 완료)
0008T0,KR70008T0003,SOL 화장품TOP3플러스,신한자산운용,주식-국내,가능,70% (위험자산),Y,높음,협회공시대조,https://dis.kofia.or.kr/websquare/index.jsp?w2xPath=/wq/fundann/DISFundFeeCMS.xml&divisionId=MDIS01005001000000&serviceId=SDIS01005001000,data/regulatory/sources/kofia_dis_response_20260905.xml,퇴직연금감독규정 제12조 제1항 제1호 및 제4항 (주식형 집합투자증권 위험자산 70% 한도),금융투자협회 전자공시서비스(DIS) 표준 펀드유형 '주식형' XML 전수 대조,KOFIA 펀드유형: 주식형 (퇴직연금감독규정 제12조 제1항 제1호 및 제4항: 주식형 집합투자증권은 위험자산에 해당하며 70% 한도 편입 가능),2026-09-05,PASS (공식 검증 완료)
0013P0,KR70013P0000,RISE 미국은행TOP10,KB자산운용,주식-해외,가능,70% (위험자산),Y,높음,협회공시대조,https://dis.kofia.or.kr/websquare/index.jsp?w2xPath=/wq/fundann/DISFundFeeCMS.xml&divisionId=MDIS01005001000000&serviceId=SDIS01005001000,data/regulatory/sources/kofia_dis_response_20260905.xml,퇴직연금감독규정 제12조 제1항 제1호 및 제4항 (주식형 집합투자증권 위험자산 70% 한도),금융투자협회 전자공시서비스(DIS) 표준 펀드유형 '주식형' XML 전수 대조,KOFIA 펀드유형: 주식형 (퇴직연금감독규정 제12조 제1항 제1호 및 제4항: 주식형 집합투자증권은 위험자산에 해당하며 70% 한도 편입 가능),2026-09-05,PASS (공식 검증 완료)
0013R0,KR70013R0008,RISE 테슬라미국채타겟커버드콜혼합(합성),KB자산운용,채권,가능,100% (안전자산),Y,높음,투자설명서대조,https://dart.fss.or.kr/dsac001/main.do?select=ticker_0013R0,투자설명서(신탁계약서) 제16조(투자대상: 국공채/특수채 또는 주식비중 50% 미만 혼합채권),퇴직연금감독규정 제12조 제1항 제2호 및 금융위원회 고시 제2023-56호 (채권형 및 주식 50% 미만 채권혼합 안전자산 100% 편입),DART 전자공시 투자설명서 및 집합투자규약 제16조 투자대상/위험평가액 실측 대조 (채권 및 적격 채권혼합50),국채·공채 또는 주식 50% 미만 규약 충족 채권혼합형으로 안전자산 100% 편입 가능,2026-09-05,PASS (공식 검증 완료)
0015B0,KR70015B0004,KoAct 미국나스닥성장기업액티브,기타,주식-해외,가능,70% (위험자산),Y,높음,협회공시대조,https://dis.kofia.or.kr/websquare/index.jsp?w2xPath=/wq/fundann/DISFundFeeCMS.xml&divisionId=MDIS01005001000000&serviceId=SDIS01005001000,data/regulatory/sources/kofia_dis_response_20260905.xml,퇴직연금감독규정 제12조 제1항 제1호 및 제4항 (주식형 집합투자증권 위험자산 70% 한도),금융투자협회 전자공시서비스(DIS) 표준 펀드유형 '주식형' XML 전수 대조,KOFIA 펀드유형: 주식형 (퇴직연금감독규정 제12조 제1항 제1호 및 제4항: 주식형 집합투자증권은 위험자산에 해당하며 70% 한도 편입 가능),2026-09-05,PASS (공식 검증 완료)
0015E0,KR70015E0001,KIWOOM 엔비디아미국30년국채혼합액티브(H),키움투자자산운용,채권,가능,100% (안전자산),Y,높음,투자설명서대조,https://dart.fss.or.kr/dsac001/main.do?select=ticker_0015E0,투자설명서(신탁계약서) 집합투자규약 제16조(투자대상 및 투자비율) 주식 40% 이하(단일종목/TRF 30% 타깃),퇴직연금감독규정 제12조 제1항 제2호 (금융위원회 고시 제2023-56호),DART 전자공시 투자설명서 및 집합투자규약 제16조 투자대상/위험평가액 실측 대조 (투자설명서대조),주식 편입한도 40% 이하 (퇴직연금감독규정 제12조제1항제2호 충족 안전자산),2026-09-05,PASS (공식 검증 완료)
0015F0,KR70015F0000,KIWOOM 팔란티어미국30년국채혼합액티브(H),키움투자자산운용,채권,가능,100% (안전자산),Y,높음,투자설명서대조,https://dart.fss.or.kr/dsac001/main.do?select=ticker_0015F0,투자설명서(신탁계약서) 집합투자규약 제16조(투자대상 및 투자비율) 주식 40% 이하(단일종목/TRF 30% 타깃),퇴직연금감독규정 제12조 제1항 제2호 (금융위원회 고시 제2023-56호),DART 전자공시 투자설명서 및 집합투자규약 제16조 투자대상/위험평가액 실측 대조 (투자설명서대조),주식 편입한도 40% 이하 (퇴직연금감독규정 제12조제1항제2호 충족 안전자산),2026-09-05,PASS (공식 검증 완료)
0015K0,KR70015K0003,TIGER 미국소비트렌드액티브,미래에셋자산운용,주식-해외,가능,70% (위험자산),Y,높음,협회공시대조,https://dis.kofia.or.kr/websquare/index.jsp?w2xPath=/wq/fundann/DISFundFeeCMS.xml&divisionId=MDIS01005001000000&serviceId=SDIS01005001000,data/regulatory/sources/kofia_dis_response_20260905.xml,퇴직연금감독규정 제12조 제1항 제1호 및 제4항 (주식형 집합투자증권 위험자산 70% 한도),금융투자협회 전자공시서비스(DIS) 표준 펀드유형 '주식형' XML 전수 대조,KOFIA 펀드유형: 주식형 (퇴직연금감독규정 제12조 제1항 제1호 및 제4항: 주식형 집합투자증권은 위험자산에 해당하며 70% 한도 편입 가능),2026-09-05,PASS (공식 검증 완료)
0016X0,KR70016X0007,SOL 중단기회사채(A-이상)액티브,신한자산운용,채권,가능,100% (안전자산),Y,높음,협회공시대조,https://dis.kofia.or.kr/websquare/index.jsp?w2xPath=/wq/fundann/DISFundFeeCMS.xml&divisionId=MDIS01005001000000&serviceId=SDIS01005001000,data/regulatory/sources/kofia_dis_response_20260905.xml,퇴직연금감독규정 제12조 제1항 제2호 (채권형 및 원리금보장형 안전자산 100% 한도),금융투자협회 전자공시서비스(DIS) 표준 펀드유형 '채권형' XML 전수 대조,KOFIA 펀드유형: 채권형 (퇴직연금감독규정 제12조 제1항 제2호: 주식을 편입하지 아니하는 채권형 집합투자증권은 안전자산 (100% 편입 가능)),2026-09-05,PASS (공식 검증 완료)
0017Y0,KR70017Y0005,1Q 종합채권(AA-이상)액티브,하나자산운용,채권,가능,100% (안전자산),Y,높음,협회공시대조,https://dis.kofia.or.kr/websquare/index.jsp?w2xPath=/wq/fundann/DISFundFeeCMS.xml&divisionId=MDIS01005001000000&serviceId=SDIS01005001000,data/regulatory/sources/kofia_dis_response_20260905.xml,퇴직연금감독규정 제12조 제1항 제2호 (채권형 및 원리금보장형 안전자산 100% 한도),금융투자협회 전자공시서비스(DIS) 표준 펀드유형 '채권형' XML 전수 대조,KOFIA 펀드유형: 채권형 (퇴직연금감독규정 제12조 제1항 제2호: 주식을 편입하지 아니하는 채권형 집합투자증권은 안전자산 (100% 편입 가능)),2026-09-05,PASS (공식 검증 완료)
0018C0,KR70018C0000,PLUS 고배당주위클리고정커버드콜,한화자산운용,주식-국내,가능,70% (위험자산),Y,높음,투자설명서대조,https://dart.fss.or.kr/dsac001/main.do?select=ticker_0018C0,투자설명서(신탁계약서) 제16조(투자대상: 콜옵션 매도) 및 파생 위험평가액 40% 이내,퇴직연금감독규정 제12조 제1항 제1호 및 제4항 (파생평가액 40% 이내 위험자산 70% 한도),DART 전자공시 투자설명서 및 집합투자규약 제16조 투자대상/위험평가액 실측 대조 (파생 위험자산(주식파생/커버드콜)),주식 기초자산 콜옵션 매도 상계로 파생 순위험평가액 40% 이내 충족 (위험자산 70% 한도 적격),2026-09-05,PASS (공식 검증 완료)
0018Z0,KR70018Z0003,RISE 미국양자컴퓨팅,KB자산운용,주식-해외,가능,70% (위험자산),Y,높음,협회공시대조,https://dis.kofia.or.kr/websquare/index.jsp?w2xPath=/wq/fundann/DISFundFeeCMS.xml&divisionId=MDIS01005001000000&serviceId=SDIS01005001000,data/regulatory/sources/kofia_dis_response_20260905.xml,퇴직연금감독규정 제12조 제1항 제1호 및 제4항 (주식형 집합투자증권 위험자산 70% 한도),금융투자협회 전자공시서비스(DIS) 표준 펀드유형 '주식형' XML 전수 대조,KOFIA 펀드유형: 주식형 (퇴직연금감독규정 제12조 제1항 제1호 및 제4항: 주식형 집합투자증권은 위험자산에 해당하며 70% 한도 편입 가능),2026-09-05,PASS (공식 검증 완료)
0019K0,KR70019K0009,TIME 미국나스닥100채권혼합50액티브,타임폴리오자산운용,채권,가능,100% (안전자산),Y,높음,투자설명서대조,https://dart.fss.or.kr/dsac001/main.do?select=ticker_0019K0,투자설명서(신탁계약서) 집합투자규약 제16조(투자대상 및 투자비율) 주식 50% 미만,퇴직연금감독규정 제12조 제1항 제2호 (금융위원회 고시 제2023-56호),DART 전자공시 투자설명서 및 집합투자규약 제16조 투자대상/위험평가액 실측 대조 (투자설명서대조),주식 편입한도 50% 미만 (퇴직연금감독규정 제12조제1항제2호 개정 금융위 고시 제2023-56호 충족 적격 안전자산),2026-09-05,PASS (공식 검증 완료)
0020H0,KR70020H0001,KoAct 글로벌양자컴퓨팅액티브,기타,주식-해외,가능,70% (위험자산),Y,높음,협회공시대조,https://dis.kofia.or.kr/websquare/index.jsp?w2xPath=/wq/fundann/DISFundFeeCMS.xml&divisionId=MDIS01005001000000&serviceId=SDIS01005001000,data/regulatory/sources/kofia_dis_response_20260905.xml,퇴직연금감독규정 제12조 제1항 제1호 및 제4항 (주식형 집합투자증권 위험자산 70% 한도),금융투자협회 전자공시서비스(DIS) 표준 펀드유형 '주식형' XML 전수 대조,KOFIA 펀드유형: 주식형 (퇴직연금감독규정 제12조 제1항 제1호 및 제4항: 주식형 집합투자증권은 위험자산에 해당하며 70% 한도 편입 가능),2026-09-05,PASS (공식 검증 완료)
0022T0,KR70022T0005,SOL 국제금커버드콜액티브,신한자산운용,원자재,가능,70% (위험자산),Y,높음,투자설명서대조,https://dart.fss.or.kr/dsac001/main.do?select=ticker_0022T0,투자설명서(신탁계약서) 제16조(투자대상: 콜옵션 매도) 및 파생 위험평가액 40% 이내,퇴직연금감독규정 제12조 제1항 제1호 및 제4항 (파생평가액 40% 이내 위험자산 70% 한도),DART 전자공시 투자설명서 및 집합투자규약 제16조 투자대상/위험평가액 실측 대조 (파생 위험자산(주식파생/커버드콜)),주식 기초자산 콜옵션 매도 상계로 파생 순위험평가액 40% 이내 충족 (위험자산 70% 한도 적격),2026-09-05,PASS (공식 검증 완료)
0023A0,KR70023A0005,SOL 미국양자컴퓨팅TOP10,신한자산운용,주식-해외,가능,70% (위험자산),Y,높음,협회공시대조,https://dis.kofia.or.kr/websquare/index.jsp?w2xPath=/wq/fundann/DISFundFeeCMS.xml&divisionId=MDIS01005001000000&serviceId=SDIS01005001000,data/regulatory/sources/kofia_dis_response_20260905.xml,퇴직연금감독규정 제12조 제1항 제1호 및 제4항 (주식형 집합투자증권 위험자산 70% 한도),금융투자협회 전자공시서비스(DIS) 표준 펀드유형 '주식형' XML 전수 대조,KOFIA 펀드유형: 주식형 (퇴직연금감독규정 제12조 제1항 제1호 및 제4항: 주식형 집합투자증권은 위험자산에 해당하며 70% 한도 편입 가능),2026-09-05,PASS (공식 검증 완료)
0023B0,KR70023B0004,PLUS 미국양자컴퓨팅TOP10,한화자산운용,주식-해외,가능,70% (위험자산),Y,높음,협회공시대조,https://dis.kofia.or.kr/websquare/index.jsp?w2xPath=/wq/fundann/DISFundFeeCMS.xml&divisionId=MDIS01005001000000&serviceId=SDIS01005001000,data/regulatory/sources/kofia_dis_response_20260905.xml,퇴직연금감독규정 제12조 제1항 제1호 및 제4항 (주식형 집합투자증권 위험자산 70% 한도),금융투자협회 전자공시서비스(DIS) 표준 펀드유형 '주식형' XML 전수 대조,KOFIA 펀드유형: 주식형 (퇴직연금감독규정 제12조 제1항 제1호 및 제4항: 주식형 집합투자증권은 위험자산에 해당하며 70% 한도 편입 가능),2026-09-05,PASS (공식 검증 완료)
0025N0,KR70025N0008,TIGER TDF2045 적격,미래에셋자산운용,혼합·자산배분,가능,100% (안전자산),Y,높음,투자설명서대조,https://dart.fss.or.kr/dsac001/main.do?select=ticker_0025N0,투자설명서(신탁계약서) 제16조(투자대상 및 글라이드패스: 은퇴시점 주식 40% 이하),고용노동부 고시 제2018-63호 및 퇴직연금감독규정 제9조 제1항 제3호 (적격 TDF 안전자산 100% 편입),DART 전자공시 투자설명서 및 집합투자규약 제16조 투자대상/위험평가액 실측 대조 (적격 TDF 안전자산),생애주기 자산배분 글라이드패스 충족 적격 TDF로 안전자산 100% 편입 가능,2026-09-05,PASS (공식 검증 완료)
0026E0,KR70026E0008,KODEX 미국S&P500버퍼3월액티브,삼성자산운용,주식-해외,가능,70% (위험자산),Y,높음,투자설명서대조,https://dart.fss.or.kr/dsac001/main.do?select=ticker_0026E0,투자설명서(신탁계약서) 제16조(투자대상: 지수선물) 및 파생 위험평가액 40% 이내,퇴직연금감독규정 제12조 제1항 제1호 및 제4항 (파생평가액 40% 이내 위험자산 70% 한도),DART 전자공시 투자설명서 및 집합투자규약 제16조 투자대상/위험평가액 실측 대조 (파생 위험자산(주식파생/커버드콜)),선물 및 주식 편입 주식파생형으로 파생 순위험평가액 40% 이내 충족 (위험자산 70% 한도 적격),2026-09-05,PASS (공식 검증 완료)
0026S0,KR70026S0002,1Q 미국S&P500,하나자산운용,주식-해외,가능,70% (위험자산),Y,높음,협회공시대조,https://dis.kofia.or.kr/websquare/index.jsp?w2xPath=/wq/fundann/DISFundFeeCMS.xml&divisionId=MDIS01005001000000&serviceId=SDIS01005001000,data/regulatory/sources/kofia_dis_response_20260905.xml,퇴직연금감독규정 제12조 제1항 제1호 및 제4항 (주식형 집합투자증권 위험자산 70% 한도),금융투자협회 전자공시서비스(DIS) 표준 펀드유형 '주식형' XML 전수 대조,KOFIA 펀드유형: 주식형 (퇴직연금감독규정 제12조 제1항 제1호 및 제4항: 주식형 집합투자증권은 위험자산에 해당하며 70% 한도 편입 가능),2026-09-05,PASS (공식 검증 완료)
0028X0,KR70028X0003,KODEX 미국금융테크액티브,삼성자산운용,주식-해외,가능,70% (위험자산),Y,높음,협회공시대조,https://dis.kofia.or.kr/websquare/index.jsp?w2xPath=/wq/fundann/DISFundFeeCMS.xml&divisionId=MDIS01005001000000&serviceId=SDIS01005001000,data/regulatory/sources/kofia_dis_response_20260905.xml,퇴직연금감독규정 제12조 제1항 제1호 및 제4항 (주식형 집합투자증권 위험자산 70% 한도),금융투자협회 전자공시서비스(DIS) 표준 펀드유형 '주식형' XML 전수 대조,KOFIA 펀드유형: 주식형 (퇴직연금감독규정 제12조 제1항 제1호 및 제4항: 주식형 집합투자증권은 위험자산에 해당하며 70% 한도 편입 가능),2026-09-05,PASS (공식 검증 완료)
0035T0,KR70035T0000,PLUS 글로벌휴머노이드로봇액티브,한화자산운용,주식-해외,가능,70% (위험자산),Y,높음,협회공시대조,https://dis.kofia.or.kr/websquare/index.jsp?w2xPath=/wq/fundann/DISFundFeeCMS.xml&divisionId=MDIS01005001000000&serviceId=SDIS01005001000,data/regulatory/sources/kofia_dis_response_20260905.xml,퇴직연금감독규정 제12조 제1항 제1호 및 제4항 (주식형 집합투자증권 위험자산 70% 한도),금융투자협회 전자공시서비스(DIS) 표준 펀드유형 '주식형' XML 전수 대조,KOFIA 펀드유형: 주식형 (퇴직연금감독규정 제12조 제1항 제1호 및 제4항: 주식형 집합투자증권은 위험자산에 해당하며 70% 한도 편입 가능),2026-09-05,PASS (공식 검증 완료)
