source_id,etf_id,ticker,source_owner,source_type,source_document_key,source_title,source_url,published_at,parser_name,parser_version,parse_status,parse_note
issuer:registry:detail:3925af7f9c1a6a6b,,,TIME ETF,issuer_notice_detail,registry:timefolio_notice_list,TIME 미국배당다우존스액티브 ETF(0036D0) 상장폐지 관련 안내,https://timeetf.co.kr/board/board.php?bbsid=notice&idx=96,2026-08-16,registry_notice_detail_text_v1,1,pending_registry_parse,공식 목록에서 키워드 기반으로 발견한 상세 공지. 티커 매칭 전 게시 금지.
issuer:registry:detail:3cd32c3ca900c986,,,PLUS ETF,issuer_notice_detail,registry:plus_notice_list,"145 
                                         PLUS ETF 5월 분배금 공지(월말) 
                                         2026.05.26",https://www.plusetf.co.kr/customer/notice/detail?n=30819,2026-08-16,registry_notice_table_v1,1,pending_registry_parse,공식 목록에서 키워드 기반으로 발견한 상세 공지. 티커 매칭 전 게시 금지.
issuer:registry:detail:5cd69c38f73fccb3,,,PLUS ETF,issuer_notice_detail,registry:plus_notice_list,"147 
                                         PLUS ETF 6월 분배금 공지(월중) 
                                         2026.06.10",https://www.plusetf.co.kr/customer/notice/detail?n=30820,2026-08-16,registry_notice_table_v1,1,pending_registry_parse,공식 목록에서 키워드 기반으로 발견한 상세 공지. 티커 매칭 전 게시 금지.
issuer:registry:detail:63ab0f169c413264,,,TIME ETF,issuer_notice_detail,registry:timefolio_notice_list,ETF 5월 분배금 (TIME 미국배당다우존스액티브),https://timeetf.co.kr/board/board.php?bbsid=notice&idx=88,2026-08-16,registry_notice_detail_text_v1,1,pending_registry_parse,공식 목록에서 키워드 기반으로 발견한 상세 공지. 티커 매칭 전 게시 금지.
issuer:registry:detail:72b0fe3efe59e022,,,TIME ETF,issuer_notice_detail,registry:timefolio_notice_list,ETF 5월 분배금 (TIME Korea플러스배당액티브),https://timeetf.co.kr/board/board.php?bbsid=notice&idx=89,2026-08-16,registry_notice_detail_text_v1,1,pending_registry_parse,공식 목록에서 키워드 기반으로 발견한 상세 공지. 티커 매칭 전 게시 금지.
issuer:registry:detail:b12ce00024839193,,,PLUS ETF,issuer_notice_detail,registry:plus_notice_list,"151 
                                         PLUS ETF 7월 분배금 공지(월중) 
                                         2026.07.10",https://www.plusetf.co.kr/customer/notice/detail?n=30822,2026-08-16,registry_notice_table_v1,1,pending_registry_parse,공식 목록에서 키워드 기반으로 발견한 상세 공지. 티커 매칭 전 게시 금지.
issuer:registry:detail:bf901b08c8b7cf14,,,PLUS ETF,issuer_notice_detail,registry:plus_notice_list,"154 
                                         PLUS ETF 8월 분배금 공지(월중) 
                                         2026.08.11",https://www.plusetf.co.kr/customer/notice/detail?n=30824,2026-08-16,registry_notice_table_v1,1,pending_registry_parse,공식 목록에서 키워드 기반으로 발견한 상세 공지. 티커 매칭 전 게시 금지.
issuer:registry:detail:c42ad1f2be4919f5,,,TIME ETF,issuer_notice_detail,registry:timefolio_notice_list,ETF 7월 분배금 (TIME Korea플러스배당액티브),https://timeetf.co.kr/board/board.php?bbsid=notice&idx=94,2026-08-16,registry_notice_detail_text_v1,1,pending_registry_parse,공식 목록에서 키워드 기반으로 발견한 상세 공지. 티커 매칭 전 게시 금지.
issuer:registry:detail:c6a8e01346d80c05,,,TIME ETF,issuer_notice_detail,registry:timefolio_notice_list,ETF 6월 분배금 (TIME 미국배당다우존스액티브),https://timeetf.co.kr/board/board.php?bbsid=notice&idx=90,2026-08-16,registry_notice_detail_text_v1,1,pending_registry_parse,공식 목록에서 키워드 기반으로 발견한 상세 공지. 티커 매칭 전 게시 금지.
issuer:registry:detail:d291f0d3cd281a84,,,TIME ETF,issuer_notice_detail,registry:timefolio_notice_list,ETF 4월 분배금 (TIME Korea플러스배당액티브),https://timeetf.co.kr/board/board.php?bbsid=notice&idx=87,2026-08-16,registry_notice_detail_text_v1,1,pending_registry_parse,공식 목록에서 키워드 기반으로 발견한 상세 공지. 티커 매칭 전 게시 금지.
issuer:registry:detail:de52bc244c44e676,,,TIME ETF,issuer_notice_detail,registry:timefolio_notice_list,ETF 7월 분배금 (TIME 미국배당다우존스액티브),https://timeetf.co.kr/board/board.php?bbsid=notice&idx=93,2026-08-16,registry_notice_detail_text_v1,1,pending_registry_parse,공식 목록에서 키워드 기반으로 발견한 상세 공지. 티커 매칭 전 게시 금지.
issuer:registry:detail:e43e1be8acac4743,,,TIME ETF,issuer_notice_detail,registry:timefolio_notice_list,ETF 6월 분배금 (TIME Korea플러스배당액티브),https://timeetf.co.kr/board/board.php?bbsid=notice&idx=92,2026-08-16,registry_notice_detail_text_v1,1,pending_registry_parse,공식 목록에서 키워드 기반으로 발견한 상세 공지. 티커 매칭 전 게시 금지.
issuer:registry:detail:f781c08aafa99085,,,PLUS ETF,issuer_notice_detail,registry:plus_notice_list,"152 
                                         PLUS ETF 7월 분배금 공지(월말) 
                                         2026.07.28",https://www.plusetf.co.kr/customer/notice/detail?n=30823,2026-08-16,registry_notice_table_v1,1,pending_registry_parse,공식 목록에서 키워드 기반으로 발견한 상세 공지. 티커 매칭 전 게시 금지.
issuer:registry:focus_notice_pending:root,,,FOCUS ETF,issuer_product_or_notice,registry:focus_notice_pending,FOCUS ETF 공식 분배금 원천 목록,http://www.hi-am.com/web/kr/fund/etf/all/etflist,2026-08-16,manual_official_notice_pending,1,pending_registry_parse,레지스트리 공식 목록/상품별 현황 페이지. 같은 호스트의 상세 공지를 증분 발견한다.
issuer:registry:hanaro_notice_list:root,,,HANARO ETF,issuer_notice_list,registry:hanaro_notice_list,HANARO ETF 공식 분배금 원천 목록,https://www.hanaroetf.com/customer/notice,2026-08-16,registry_notice_table_v1,1,pending_registry_parse,레지스트리 공식 목록/상품별 현황 페이지. 같은 호스트의 상세 공지를 증분 발견한다.
issuer:registry:kiwoom_distribution_report:root,,,KIWOOM ETF,issuer_product_distribution_table,registry:kiwoom_distribution_report,KIWOOM ETF 공식 분배금 원천 목록,https://www.kiwoometf.com/service/report/KO03020000M,2026-08-16,registry_product_distribution_table_v1,1,pending_registry_parse,레지스트리 공식 목록/상품별 현황 페이지. 같은 호스트의 상세 공지를 증분 발견한다.
issuer:registry:koact_dividend_notice_list:root,,,KoAct ETF,issuer_notice_list,registry:koact_dividend_notice_list,KoAct ETF 공식 분배금 원천 목록,https://www.samsungactive.co.kr/lounge/notice.do?category=DIVIDEND,2026-08-16,registry_notice_table_v1,1,pending_registry_parse,레지스트리 공식 목록/상품별 현황 페이지. 같은 호스트의 상세 공지를 증분 발견한다.
issuer:registry:kodex_distribution_report:root,,,KODEX ETF,issuer_product_distribution_table,registry:kodex_distribution_report,KODEX ETF 공식 분배금 원천 목록,https://www.samsungfund.com/etf/product/distribution.do,2026-08-16,registry_product_distribution_table_v1,1,pending_registry_parse,레지스트리 공식 목록/상품별 현황 페이지. 같은 호스트의 상세 공지를 증분 발견한다.
issuer:registry:oneq_notice_list:root,,,1Q ETF,issuer_notice_list,registry:oneq_notice_list,1Q ETF 공식 분배금 원천 목록,https://www.1qetf.com/pages/board/board.view.php?board_no=70,2026-08-16,registry_notice_table_v1,1,pending_registry_parse,레지스트리 공식 목록/상품별 현황 페이지. 같은 호스트의 상세 공지를 증분 발견한다.
issuer:registry:plus_notice_list:root,,,PLUS ETF,issuer_notice_list,registry:plus_notice_list,PLUS ETF 공식 분배금 원천 목록,https://www.plusetf.co.kr/customer/notice/list,2026-08-16,registry_notice_table_v1,1,pending_registry_parse,레지스트리 공식 목록/상품별 현황 페이지. 같은 호스트의 상세 공지를 증분 발견한다.
issuer:registry:power_notice_pending:root,,,파워 ETF,issuer_notice_or_product_page,registry:power_notice_pending,파워 ETF 공식 분배금 원천 목록,https://www.kyoboaxa-im.co.kr/prdtInfo/powerETFList.do,2026-08-16,manual_official_notice_pending,1,pending_registry_parse,레지스트리 공식 목록/상품별 현황 페이지. 같은 호스트의 상세 공지를 증분 발견한다.
issuer:registry:rise_notice_list_remaining:root,,,RISE ETF,issuer_notice_list,registry:rise_notice_list_remaining,RISE ETF 공식 분배금 원천 목록,https://www.riseetf.co.kr/cust/notice?searchText=%EB%B6%84%EB%B0%B0%EA%B8%88&searchType4=tab,2026-08-16,registry_notice_table_v1,1,pending_registry_parse,레지스트리 공식 목록/상품별 현황 페이지. 같은 호스트의 상세 공지를 증분 발견한다.
issuer:registry:sol_notice_list:root,,,SOL ETF,issuer_notice_list,registry:sol_notice_list,SOL ETF 공식 분배금 원천 목록,https://www.soletf.com/ko/cs/notice,2026-08-16,registry_notice_table_v1,1,pending_registry_parse,레지스트리 공식 목록/상품별 현황 페이지. 같은 호스트의 상세 공지를 증분 발견한다.
issuer:registry:tiger_distribution_annual:root,,,TIGER ETF,issuer_distribution_table,registry:tiger_distribution_annual,TIGER ETF 공식 분배금 원천 목록,http://investments.miraeasset.com/tigeretf/ko/distribution/annual/list.do,2026-08-16,registry_product_distribution_table_v1,1,pending_registry_parse,레지스트리 공식 목록/상품별 현황 페이지. 같은 호스트의 상세 공지를 증분 발견한다.
issuer:registry:timefolio_notice_list:root,,,TIME ETF,issuer_notice_list,registry:timefolio_notice_list,TIME ETF 공식 분배금 원천 목록,https://timeetf.co.kr/board/board.php?bbsid=notice,2026-08-16,registry_notice_detail_text_v1,1,pending_registry_parse,레지스트리 공식 목록/상품별 현황 페이지. 같은 호스트의 상세 공지를 증분 발견한다.
issuer:rise:notice:20260728:monthend,,,RISE,issuer_notice,181,2026년 7월 말 RISE ETF 분배금 지급 안내,https://www.riseetf.co.kr/cust/notice/181,2026-07-28,rise_notice_table_v1_pending,1,pending,"공식 공지 원문을 보존. 수정 공지 가능성을 고려해 해시·원문을 유지하며, 개별 ETF 행 추출·KRX 대조 전에는 계산용 이벤트로 승격하지 않음."
issuer:sol:notice:20260729:monthend,,,SOL,issuer_notice,96,2026년 7월 SOL ETF 분배금 안내 ②,https://www.soletf.com/ko/cs/noticeView?no=96,2026-07-29,sol_notice_link_v1_pending,1,pending,"공식 공지 원문을 보존. 공지 본문의 분배금 상세 링크 경로를 별도 탐색하고, 금액·일정이 원문으로 확보되기 전에는 계산용 이벤트로 승격하지 않음."
issuer:tiger:distribution:overall,,,TIGER,issuer_distribution_history,overall,TIGER ETF 전체 분배 내역,https://investments.miraeasset.com/tigeretf/ko/distribution/overall/list.do,,tiger_distribution_history_v1_pending,1,pending,공식 분배 이력 화면 원문을 보존. 동적 데이터 요청 경로·개별 ETF 이력 확인용.
issuer:tiger:notice:20260527:monthend,,,TIGER,issuer_notice,744,TIGER ETF 2026년 5월말 분배금 지급 안내,https://investments.miraeasset.com/tigeretf/ko/customer/notice/view.do?detailsKey=744,2026-05-27,tiger_notice_table_v1,1,collected,공식 공지 HTML 불변 원문 저장 완료.
issuer:tiger:notice:20260611:midmonth,,,TIGER,issuer_notice,745,TIGER ETF 2026년 6월 중순 분배금 지급 안내,https://investments.miraeasset.com/tigeretf/ko/customer/notice/view.do?detailsKey=745,2026-06-11,tiger_notice_table_v1,1,collected,공식 공지 HTML 불변 원문 저장 완료.
issuer:tiger:notice:20260626:monthend,,,TIGER,issuer_notice,748,TIGER ETF 2026년 6월말 분배금 지급 안내,https://investments.miraeasset.com/tigeretf/ko/customer/notice/view.do?detailsKey=748,2026-06-26,tiger_notice_table_v1,1,collected,공식 공지 HTML 불변 원문 저장 완료.
issuer:tiger:notice:20260713:midmonth,,,TIGER,issuer_notice,750,2026년 7월 중순 TIGER ETF 분배금 지급 안내,https://investments.miraeasset.com/tigeretf/ko/customer/notice/view.do?detailsKey=750,2026-07-13,tiger_notice_table_v1_pending,1,pending,공식 공지 원문을 보존. 개별 ETF 행 추출·KRX 대조 전에는 계산용 이벤트로 승격하지 않음.
issuer:tiger:notice:20260812:midmonth,,,TIGER,issuer_notice,755,TIGER ETF 2026년 8월 중순 분배금 지급 안내,https://investments.miraeasset.com/tigeretf/ko/customer/notice/view.do?detailsKey=755,2026-08-12,tiger_notice_table_v1,1,collected,공식 공지 HTML 불변 원문 저장 완료.
krx:kind:489030:20241029:20241029000652,KR7489030007,489030,KRX KIND,krx_ex_rights_disclosure,20241029000652,[PLUS 고배당주위클리커버드콜] ETF 분배락 기준가격 안내,https://kind.krx.co.kr/common/disclsviewer.do?method=searchInitInfo&acptNo=20241029000652&docno=,2024-10-29,krx_kind_manual_review,1,manual_review,공시 적용일·분배락 기준가격 구조 검증용. 2026-07 이벤트에는 연결하지 않는다.
krx:kind:distribution_notice:20260729:20260729002071,,,KRX KIND,krx_distribution_notice_batch,20260729002071,ETF이익금분배신고(분배금안내)(일괄공시) 2026-07-29,https://kind.krx.co.kr/external/2026/07/29/000913/20260729002071/68659.htm,2026-07-29,krx_kind_distribution_notice_table_v1,1,pending,KRX KIND 공식 일괄공시 원문. 분배금·지급기준일·지급예정일 증거를 후보 원장과 대조하기 위해 보존하며 적용일 단독 증거로 사용하지 않는다.
legacy:0228279b3fb553e8,,490600,legacy_candidate,issuer_product_or_notice,,RISE 미국배당100데일리고정커버드콜,https://www.riseetf.co.kr/prod/finderDetail/44H2,,unparsed,1,pending,기존 분배금 원장의 후보 원천 URL. 문서 수집 후 운용사별 파서를 지정한다.
legacy:289d3a7d46f4bac2,,441640,legacy_candidate,issuer_product_or_notice,,KODEX 미국배당커버드콜액티브,https://www.samsungfund.com/etf/product/view.do?id=2ETFH4,,unparsed,1,pending,기존 분배금 원장의 후보 원천 URL. 문서 수집 후 운용사별 파서를 지정한다.
legacy:4d068284a4293a42,,402970,legacy_candidate,issuer_product_or_notice,,ACE 미국배당다우존스,https://www.aceetf.co.kr/cs/notice/4081,,unparsed,1,pending,기존 분배금 원장의 후보 원천 URL. 문서 수집 후 운용사별 파서를 지정한다.
legacy:97eeaa7da4976d70,,458730,legacy_candidate,issuer_product_or_notice,,TIGER 미국배당다우존스,https://www.tigeretf.com/,,unparsed,1,pending,기존 분배금 원장의 후보 원천 URL. 문서 수집 후 운용사별 파서를 지정한다.
legacy:af772bb21a34bea5,,402970,legacy_candidate,issuer_product_or_notice,,ACE 미국배당다우존스,https://www.aceetf.co.kr/cs/notice/6162,,unparsed,1,pending,기존 분배금 원장의 후보 원천 URL. 문서 수집 후 운용사별 파서를 지정한다.
legacy:dd996887a84ee639,,402970,legacy_candidate,issuer_product_or_notice,,ACE 미국배당다우존스,https://www.aceetf.co.kr/,,unparsed,1,pending,기존 분배금 원장의 후보 원천 URL. 문서 수집 후 운용사별 파서를 지정한다.
