priority,review_status,ticker,isin,master_name,issuer_group,search_key_1_isin,search_key_2_ticker,search_key_3_current_name,preferred_source_1,preferred_source_2,candidate_listing_date,candidate_first_traded_date,evidence_url,source_document_id,source_document_title,evidence_quote,match_basis,reviewer,reviewed_at,next_action,verification_note
P1,accepted,091180,KR7091180000,KODEX 자동차,삼성자산운용,KR7091180000,091180,KODEX 자동차,KRX KIND/레거시 KRX 상장 공고,삼성자산운용 공식 상품·보관 문서,2006-06-27,,https://kind.krx.co.kr/disclosure/etfisudetail.do?method=searchEtfIsuSummary&strIsurCd=09118,09118,KIND ETF 종목상세 — KODEX 자동차,표준코드 KR7091180000; 종목코드 091180; 상장일 2006-06-27,isin,Manus AI,2026-08-14T10:56:59+00:00,없음 — KIND 공식 증적 검증 완료,KIND ETF 종목상세의 상장일·ISIN·종목코드 일치로 승인되었습니다.
P1,accepted,099140,KR7099140006,KODEX 차이나H,삼성자산운용,KR7099140006,099140,KODEX 차이나H,KRX KIND/레거시 KRX 상장 공고,삼성자산운용 공식 상품·보관 문서,2007-10-10,,https://kind.krx.co.kr/disclosure/etfisudetail.do?method=searchEtfIsuSummary&strIsurCd=09914,09914,KIND ETF 종목상세 — KODEX 차이나H,표준코드 KR7099140006; 종목코드 099140; 상장일 2007-10-10,isin,Manus AI,2026-08-14T10:56:59+00:00,없음 — KIND 공식 증적 검증 완료,KIND ETF 종목상세의 상장일·ISIN·종목코드 일치로 승인되었습니다.
P1,accepted,101280,KR7101280006,KODEX 일본TOPIX100,삼성자산운용,KR7101280006,101280,KODEX 일본TOPIX100,KRX KIND/레거시 KRX 상장 공고,삼성자산운용 공식 상품·보관 문서,2008-02-20,,https://kind.krx.co.kr/disclosure/etfisudetail.do?method=searchEtfIsuSummary&strIsurCd=10128,10128,KIND ETF 종목상세 — KODEX 일본TOPIX100,표준코드 KR7101280006; 종목코드 101280; 상장일 2008-02-20,isin,Manus AI,2026-08-14T10:56:59+00:00,없음 — KIND 공식 증적 검증 완료,KIND ETF 종목상세의 상장일·ISIN·종목코드 일치로 승인되었습니다.
P1,accepted,102780,KR7102780004,KODEX 삼성그룹,삼성자산운용,KR7102780004,102780,KODEX 삼성그룹,KRX KIND/레거시 KRX 상장 공고,삼성자산운용 공식 상품·보관 문서,2008-05-21,,https://kind.krx.co.kr/disclosure/etfisudetail.do?method=searchEtfIsuSummary&strIsurCd=10278,10278,KIND ETF 종목상세 — KODEX 삼성그룹,표준코드 KR7102780004; 종목코드 102780; 상장일 2008-05-21,isin,Manus AI,2026-08-14T10:56:59+00:00,없음 — KIND 공식 증적 검증 완료,KIND ETF 종목상세의 상장일·ISIN·종목코드 일치로 승인되었습니다.
P1,accepted,102960,KR7102960002,KODEX 기계장비,삼성자산운용,KR7102960002,102960,KODEX 기계장비,KRX KIND/레거시 KRX 상장 공고,삼성자산운용 공식 상품·보관 문서,2008-05-29,,https://kind.krx.co.kr/disclosure/etfisudetail.do?method=searchEtfIsuSummary&strIsurCd=10296,10296,KIND ETF 종목상세 — KODEX 기계장비,표준코드 KR7102960002; 종목코드 102960; 상장일 2008-05-29,isin,Manus AI,2026-08-14T10:56:59+00:00,없음 — KIND 공식 증적 검증 완료,KIND ETF 종목상세의 상장일·ISIN·종목코드 일치로 승인되었습니다.
P1,accepted,102970,KR7102970001,KODEX 증권,삼성자산운용,KR7102970001,102970,KODEX 증권,KRX KIND/레거시 KRX 상장 공고,삼성자산운용 공식 상품·보관 문서,2008-05-29,,https://kind.krx.co.kr/disclosure/etfisudetail.do?method=searchEtfIsuSummary&strIsurCd=10297,10297,KIND ETF 종목상세 — KODEX 증권,표준코드 KR7102970001; 종목코드 102970; 상장일 2008-05-29,isin,Manus AI,2026-08-14T10:56:59+00:00,없음 — KIND 공식 증적 검증 완료,KIND ETF 종목상세의 상장일·ISIN·종목코드 일치로 승인되었습니다.
P1,accepted,169950,KR7169950003,KODEX 차이나A50,삼성자산운용,KR7169950003,169950,KODEX 차이나A50,KRX KIND/레거시 KRX 상장 공고,삼성자산운용 공식 상품·보관 문서,2013-01-21,,https://kind.krx.co.kr/disclosure/etfisudetail.do?method=searchEtfIsuSummary&strIsurCd=16995,16995,KIND ETF 종목상세 — KODEX 차이나A50,표준코드 KR7169950003; 종목코드 169950; 상장일 2013-01-21,isin,Manus AI,2026-08-14T10:56:59+00:00,없음 — KIND 공식 증적 검증 완료,KIND ETF 종목상세의 상장일·ISIN·종목코드 일치로 승인되었습니다.
P1,accepted,100910,KR7100910009,KIWOOM KRX100,키움투자자산운용,KR7100910009,100910,KIWOOM KRX100,KRX KIND/레거시 KRX 상장 공고,키움투자자산운용 공식 상품·보관 문서,2008-01-23,,https://kind.krx.co.kr/disclosure/etfisudetail.do?method=searchEtfIsuSummary&strIsurCd=10091,10091,KIND ETF 종목상세 — KIWOOM KRX100,표준코드 KR7100910009; 종목코드 100910; 상장일 2008-01-23,isin,Manus AI,2026-08-14T10:56:59+00:00,없음 — KIND 공식 증적 검증 완료,KIND ETF 종목상세의 상장일·ISIN·종목코드 일치로 승인되었습니다.
P1,accepted,104520,KR7104520002,KIWOOM 블루칩,키움투자자산운용,KR7104520002,104520,KIWOOM 블루칩,KRX KIND/레거시 KRX 상장 공고,키움투자자산운용 공식 상품·보관 문서,2008-07-29,,https://kind.krx.co.kr/disclosure/etfisudetail.do?method=searchEtfIsuSummary&strIsurCd=10452,10452,KIND ETF 종목상세 — KIWOOM 블루칩,표준코드 KR7104520002; 종목코드 104520; 상장일 2008-07-29,isin,Manus AI,2026-08-14T10:56:59+00:00,없음 — KIND 공식 증적 검증 완료,KIND ETF 종목상세의 상장일·ISIN·종목코드 일치로 승인되었습니다.
P1,accepted,104530,KR7104530001,KIWOOM 코리아고배당,키움투자자산운용,KR7104530001,104530,KIWOOM 코리아고배당,KRX KIND/레거시 KRX 상장 공고,키움투자자산운용 공식 상품·보관 문서,2008-07-29,,https://kind.krx.co.kr/disclosure/etfisudetail.do?method=searchEtfIsuSummary&strIsurCd=10453,10453,KIND ETF 종목상세 — KIWOOM 코리아고배당,표준코드 KR7104530001; 종목코드 104530; 상장일 2008-07-29,isin,Manus AI,2026-08-14T10:56:59+00:00,없음 — KIND 공식 증적 검증 완료,KIND ETF 종목상세의 상장일·ISIN·종목코드 일치로 승인되었습니다.
P1,accepted,200250,KR7200250009,KIWOOM 인도Nifty50(합성),키움투자자산운용,KR7200250009,200250,KIWOOM 인도Nifty50(합성),KRX KIND/레거시 KRX 상장 공고,키움투자자산운용 공식 상품·보관 문서,2014-06-26,,https://kind.krx.co.kr/disclosure/etfisudetail.do?method=searchEtfIsuSummary&strIsurCd=20025,20025,KIND ETF 종목상세 — KIWOOM 인도Nifty50(합성),표준코드 KR7200250009; 종목코드 200250; 상장일 2014-06-26,isin,Manus AI,2026-08-14T10:56:59+00:00,없음 — KIND 공식 증적 검증 완료,KIND ETF 종목상세의 상장일·ISIN·종목코드 일치로 승인되었습니다.
