"etf_id","ticker","etf_name","base_index","aum","priority_tier","candidate_reason","collection_status","issuer_source_status","krx_source_status","note"
"KR7251600003","251600","PLUS 고배당주채권혼합","FnGuide 고배당 채권혼합 지수","594912242863","P1","고배당 키워드","not_started","not_started","not_started","배당형 우선 수집 후보. 실제 분배 및 TR 지원 여부는 공식 원천 검증 후 결정."
"KR7491620001","491620","RISE 미국테크100데일리고정커버드콜","KEDI 미국 테크100 90%참여+데일리옵션 프리미엄 지수(TR)","550875979729","P1","커버드콜 키워드","not_started","not_started","not_started","배당형 우선 수집 후보. 실제 분배 및 TR 지원 여부는 공식 원천 검증 후 결정."
"KR70219E0005","0219E0","KODEX 200커버드콜액티브","코스피 200 커버드콜 5% OTM","548970834437","P1","커버드콜 키워드","not_started","not_started","not_started","배당형 우선 수집 후보. 실제 분배 및 TR 지원 여부는 공식 원천 검증 후 결정."
"KR70105E0002","0105E0","SOL 코리아고배당","FnGuide 코리아 고배당 지수(PR)","539641096517","P1","고배당 키워드","not_started","not_started","not_started","배당형 우선 수집 후보. 실제 분배 및 TR 지원 여부는 공식 원천 검증 후 결정."
"KR7315960005","315960","RISE 대형고배당10TR","WISE 대형고배당10 TR 지수","507868469605","P1","고배당 키워드","not_started","not_started","not_started","배당형 우선 수집 후보. 실제 분배 및 TR 지원 여부는 공식 원천 검증 후 결정."
"KR7483280004","483280","KODEX 미국AI테크TOP10타겟커버드콜","KEDI 미국 AI 테크 TOP10+15%프리미엄 지수(Total Return)","479476918698","P1","커버드콜 키워드","not_started","not_started","not_started","배당형 우선 수집 후보. 실제 분배 및 TR 지원 여부는 공식 원천 검증 후 결정."
"KR7474220001","474220","TIGER 미국테크TOP10타겟커버드콜","Bloomberg U.S. Tech Top10+10% Premium Covered Call Index","430735409734","P1","커버드콜 키워드","not_started","not_started","not_started","배당형 우선 수집 후보. 실제 분배 및 TR 지원 여부는 공식 원천 검증 후 결정."
"KR7484880000","484880","SOL 금융지주플러스고배당","FnGuide 금융지주플러스고배당 지수(PR)","374368544275","P1","고배당 키워드","not_started","not_started","not_started","배당형 우선 수집 후보. 실제 분배 및 TR 지원 여부는 공식 원천 검증 후 결정."
"KR70144L0006","0144L0","KODEX 미국성장커버드콜액티브","NASDAQ 100","357834536735","P1","커버드콜 키워드","not_started","not_started","not_started","배당형 우선 수집 후보. 실제 분배 및 TR 지원 여부는 공식 원천 검증 후 결정."
"KR70040Y0006","0040Y0","SOL 팔란티어커버드콜OTM채권혼합","KEDI 팔란티어커버드콜OTM 채권혼합지수(NTR)","356014438438","P1","커버드콜 키워드","not_started","not_started","not_started","배당형 우선 수집 후보. 실제 분배 및 TR 지원 여부는 공식 원천 검증 후 결정."
"KR70052D0006","0052D0","TIGER 코리아배당다우존스","Dow Jones Korea Dividend 30 지수 (Price Return)","347519156147","P1","배당 키워드","not_started","not_started","not_started","배당형 우선 수집 후보. 실제 분배 및 TR 지원 여부는 공식 원천 검증 후 결정."
"KR7279530000","279530","KODEX 고배당주","FnGuide 고배당 Plus 지수","339246378487","P1","고배당 키워드","not_started","not_started","not_started","배당형 우선 수집 후보. 실제 분배 및 TR 지원 여부는 공식 원천 검증 후 결정."
"KR70008S0004","0008S0","TIGER 미국배당다우존스타겟데일리커버드콜","Dow Jones U.S. Dividend 100 10% Daily Premium Covered Call 지수","303914391144","P1","커버드콜 키워드","not_started","not_started","not_started","배당형 우선 수집 후보. 실제 분배 및 TR 지원 여부는 공식 원천 검증 후 결정."
"KR7441680006","441680","TIGER 미국나스닥100커버드콜(합성)","Cboe Nasdaq-100 BuyWrite V2 지수 (Total Return)","290272433051","P1","커버드콜 키워드","not_started","not_started","not_started","배당형 우선 수집 후보. 실제 분배 및 TR 지원 여부는 공식 원천 검증 후 결정."
"KR7489030007","489030","PLUS 고배당주위클리커버드콜","코스피 고배당 위클리 콜매도 ATM 지수","287678615291","P1","커버드콜 키워드","not_started","not_started","not_started","배당형 우선 수집 후보. 실제 분배 및 TR 지원 여부는 공식 원천 검증 후 결정."
"KR7473330009","473330","SOL 미국30년국채커버드콜(합성)","KEDI 미국 국채 20년+ 커버드콜 지수(NTR)","287544239420","P1","커버드콜 키워드","not_started","not_started","not_started","배당형 우선 수집 후보. 실제 분배 및 TR 지원 여부는 공식 원천 검증 후 결정."
"KR7475080008","475080","KODEX 테슬라커버드콜채권혼합액티브","KEDI 테슬라 인컴 프리미엄 밸런스드 지수(TR)","284813819038","P1","커버드콜 키워드","not_started","not_started","not_started","배당형 우선 수집 후보. 실제 분배 및 TR 지원 여부는 공식 원천 검증 후 결정."
"KR7493810006","493810","TIGER 미국AI빅테크10타겟데일리커버드콜","KEDI 미국AI빅테크10+15%데일리프리미엄 지수(TR)","249707863685","P1","커버드콜 키워드","not_started","not_started","not_started","배당형 우선 수집 후보. 실제 분배 및 TR 지원 여부는 공식 원천 검증 후 결정."
"KR70094M0005","0094M0","RISE 코리아밸류업위클리고정커버드콜","코리아 밸류업 위클리 커버드콜 30% 지수","222490714929","P1","커버드콜 키워드","not_started","not_started","not_started","배당형 우선 수집 후보. 실제 분배 및 TR 지원 여부는 공식 원천 검증 후 결정."
"KR7452360001","452360","SOL 미국배당다우존스(H)","Dow Jones U.S. Dividend 100 Price Return Index","221412082673","P1","배당 키워드","not_started","not_started","not_started","배당형 우선 수집 후보. 실제 분배 및 TR 지원 여부는 공식 원천 검증 후 결정."
"KR70104N0002","0104N0","TIGER 200타겟위클리커버드콜","코스피 200 타겟 7% 위클리 커버드콜 지수","218122941300","P1","커버드콜 키워드","not_started","not_started","not_started","배당형 우선 수집 후보. 실제 분배 및 TR 지원 여부는 공식 원천 검증 후 결정."
"KR70089D0003","0089D0","KODEX 금융고배당TOP10","코스피 200 금융 고배당 TOP 10 지수","213632236966","P1","고배당 키워드","not_started","not_started","not_started","배당형 우선 수집 후보. 실제 분배 및 TR 지원 여부는 공식 원천 검증 후 결정."
"KR7266160001","266160","RISE 고배당","FnGuide 고배당포커스 지수","208198786130","P1","고배당 키워드","not_started","not_started","not_started","배당형 우선 수집 후보. 실제 분배 및 TR 지원 여부는 공식 원천 검증 후 결정."
"KR7480040005","480040","ACE 미국반도체데일리타겟커버드콜(합성)","Bloomberg US Listed Semiconductor Premium Decrement 15% Distribution Index","200236023813","P1","커버드콜 키워드","not_started","not_started","not_started","배당형 우선 수집 후보. 실제 분배 및 TR 지원 여부는 공식 원천 검증 후 결정."
"KR70005A0007","0005A0","KODEX 미국S&P500데일리커버드콜OTM","S&P 500 Covered Call 1% OTM Daily Index(TR)","196774521167","P1","커버드콜 키워드","not_started","not_started","not_started","배당형 우선 수집 후보. 실제 분배 및 TR 지원 여부는 공식 원천 검증 후 결정."
"KR7429000003","429000","TIGER 미국S&P500배당귀족","S&P 500 Dividend Aristocrats 지수 (Price Return)","192973062295","P1","배당 키워드","not_started","not_started","not_started","배당형 우선 수집 후보. 실제 분배 및 TR 지원 여부는 공식 원천 검증 후 결정."
"KR70040X0007","0040X0","SOL 팔란티어미국채커버드콜혼합","KEDI 팔란티어미국채커버드콜혼합지수(NTR)","179372483052","P1","커버드콜 키워드","not_started","not_started","not_started","배당형 우선 수집 후보. 실제 분배 및 TR 지원 여부는 공식 원천 검증 후 결정."
"KR7483290003","483290","KODEX 미국배당다우존스타겟커버드콜","Dow Jones U.S. Dividend 100 10% Premium Covered Call Index(Total Return)","175815062013","P1","커버드콜 키워드","not_started","not_started","not_started","배당형 우선 수집 후보. 실제 분배 및 TR 지원 여부는 공식 원천 검증 후 결정."
"KR7490600004","490600","RISE 미국배당100데일리고정커버드콜","KEDI 미국 배당100 90%참여+데일리옵션 프리미엄 지수(총수익지수)","171454083484","P1","커버드콜 키워드","not_started","not_started","not_started","배당형 우선 수집 후보. 실제 분배 및 TR 지원 여부는 공식 원천 검증 후 결정."
"KR70190G0006","0190G0","KODEX 반도체타겟위클리커버드콜","KRX 반도체 타겟 9% 분배 위클리 커버드콜 지수","168683766222","P1","커버드콜 키워드","not_started","not_started","not_started","배당형 우선 수집 후보. 실제 분배 및 TR 지원 여부는 공식 원천 검증 후 결정."
"KR7480020007","480020","ACE 미국빅테크7+데일리타겟커버드콜(합성)","Bloomberg US Big Tech Top 7 Plus Premium Decrement 15% Distribution Index","166606564845","P1","커버드콜 키워드","not_started","not_started","not_started","배당형 우선 수집 후보. 실제 분배 및 TR 지원 여부는 공식 원천 검증 후 결정."
"KR7480030006","480030","ACE 미국500데일리타겟커버드콜(합성)","Bloomberg US 500 Large Cap Premium Decrement 15% Distribution Index","164679776930","P1","커버드콜 키워드","not_started","not_started","not_started","배당형 우선 수집 후보. 실제 분배 및 TR 지원 여부는 공식 원천 검증 후 결정."
"KR70153K0005","0153K0","KODEX 주주환원고배당주","Akros 주주환원 고배당 지수 (Price Return)","150455891323","P1","고배당 키워드","not_started","not_started","not_started","배당형 우선 수집 후보. 실제 분배 및 TR 지원 여부는 공식 원천 검증 후 결정."
"KR70199C0001","0199C0","ACE 고배당주Plus커버드콜액티브","KRX-Akros 고배당주 20 위클리 고정 30% 커버드콜 지수","126186871349","P1","커버드콜 키워드","not_started","not_started","not_started","배당형 우선 수집 후보. 실제 분배 및 TR 지원 여부는 공식 원천 검증 후 결정."
"KR70132K0001","0132K0","PLUS 테슬라위클리커버드콜채권혼합","Akros 테슬라 위클리 커버드콜 채권혼합 지수","107016543340","P1","커버드콜 키워드","not_started","not_started","not_started","배당형 우선 수집 후보. 실제 분배 및 TR 지원 여부는 공식 원천 검증 후 결정."
"KR7460960008","460960","ACE 글로벌인컴TOP10","Solactive Global Superior Income TOP 10 Price Return Index","87585295093","P1","기초지수 인컴 키워드","not_started","not_started","not_started","배당형 우선 수집 후보. 실제 분배 및 TR 지원 여부는 공식 원천 검증 후 결정."
"KR70049M0001","0049M0","ACE 미국배당퀄리티+커버드콜액티브","Bloomberg WisdomTree U.S. Quality Dividend & B500 Premium Decrement 50:50 Index","80494623395","P1","커버드콜 키워드","not_started","not_started","not_started","배당형 우선 수집 후보. 실제 분배 및 TR 지원 여부는 공식 원천 검증 후 결정."
"KR70018C0000","0018C0","PLUS 고배당주위클리고정커버드콜","코스피 고배당 위클리 고정 커버드콜 지수","79757110020","P1","커버드콜 키워드","not_started","not_started","not_started","배당형 우선 수집 후보. 실제 분배 및 TR 지원 여부는 공식 원천 검증 후 결정."
"KR70098N0000","0098N0","PLUS 자사주매입고배당주","FnGuide 고배당주 플러스 자사주 지수 (PR)","78096808270","P1","고배당 키워드","not_started","not_started","not_started","배당형 우선 수집 후보. 실제 분배 및 TR 지원 여부는 공식 원천 검증 후 결정."
"KR7210780003","210780","TIGER 코스피고배당","코스피 고배당 50","76569229553","P1","고배당 키워드","not_started","not_started","not_started","배당형 우선 수집 후보. 실제 분배 및 TR 지원 여부는 공식 원천 검증 후 결정."
"KR70022T0005","0022T0","SOL 국제금커버드콜액티브","KEDI 골드인컴프리미엄 지수(NTR)","71018578731","P1","커버드콜 키워드","not_started","not_started","not_started","배당형 우선 수집 후보. 실제 분배 및 TR 지원 여부는 공식 원천 검증 후 결정."
"KR7458750007","458750","TIGER 미국배당다우존스타겟커버드콜1호","DowJones U.S. Dividend 100 3% Premium Covered Call 지수 (TR)","68696072554","P1","커버드콜 키워드","not_started","not_started","not_started","배당형 우선 수집 후보. 실제 분배 및 TR 지원 여부는 공식 원천 검증 후 결정."
"KR70036D0007","0036D0","TIME 미국배당다우존스액티브","Dow Jones U.S. Dividend 100 Price Return Index","65105079961","P1","배당 키워드","not_started","not_started","not_started","배당형 우선 수집 후보. 실제 분배 및 TR 지원 여부는 공식 원천 검증 후 결정."
"KR70000D0009","0000D0","TIGER 엔비디아미국채커버드콜밸런스(합성)","KEDI 엔비디아미국채30년타겟커버드콜혼합지수(TR)","64456764138","P1","커버드콜 키워드","not_started","not_started","not_started","배당형 우선 수집 후보. 실제 분배 및 TR 지원 여부는 공식 원천 검증 후 결정."
"KR70111J0009","0111J0","HANARO 증권고배당TOP3플러스","FnGuide 증권 고배당 TOP3 플러스 지수","60865845365","P1","고배당 키워드","not_started","not_started","not_started","배당형 우선 수집 후보. 실제 분배 및 TR 지원 여부는 공식 원천 검증 후 결정."
"KR70210E0004","0210E0","PLUS 200커버드콜액티브","코스피 200 위클리 고정 30% 커버드콜 지수","60153092204","P1","커버드콜 키워드","not_started","not_started","not_started","배당형 우선 수집 후보. 실제 분배 및 TR 지원 여부는 공식 원천 검증 후 결정."
"KR70198A0004","0198A0","KIWOOM 코스닥150커버드콜액티브","코스닥 150 위클리 고정 30% 커버드콜 지수","56615005516","P1","커버드콜 키워드","not_started","not_started","not_started","배당형 우선 수집 후보. 실제 분배 및 TR 지원 여부는 공식 원천 검증 후 결정."
"KR70046Y0000","0046Y0","ACE 미국배당퀄리티","WisdomTree U.S. Quality Dividend Growth Index (Price Return)","55500408945","P1","배당 키워드","not_started","not_started","not_started","배당형 우선 수집 후보. 실제 분배 및 TR 지원 여부는 공식 원천 검증 후 결정."
"KR70089C0004","0089C0","KODEX 미국S&P500변동성확대시커버드콜","Cboe S&P 500 Volatility Contingent Daily Covered Call Index(Total Retrun)","52166916733","P1","커버드콜 키워드","not_started","not_started","not_started","배당형 우선 수집 후보. 실제 분배 및 TR 지원 여부는 공식 원천 검증 후 결정."
"KR70139P0009","0139P0","ACE 고배당주","KRX-Akros 고배당주 20 지수","50150774835","P1","고배당 키워드","not_started","not_started","not_started","배당형 우선 수집 후보. 실제 분배 및 TR 지원 여부는 공식 원천 검증 후 결정."
"KR7472830009","472830","RISE 미국30년국채커버드콜(합성)","Bloomberg U.S. Treasury 20+ Year (TLT) 2% OTM Covered Call Index(TR)","45250275404","P1","커버드콜 키워드","not_started","not_started","not_started","배당형 우선 수집 후보. 실제 분배 및 TR 지원 여부는 공식 원천 검증 후 결정."
"KR7322410002","322410","HANARO K고배당","FnGuide 고배당 알파 지수","38978316830","P1","고배당 키워드","not_started","not_started","not_started","배당형 우선 수집 후보. 실제 분배 및 TR 지원 여부는 공식 원천 검증 후 결정."
"KR7276970001","276970","KODEX 미국S&P500배당귀족커버드콜(합성 H)","S&P500 Dividend Aristocrats Covered Call(7.2% Premium) Index","37321203327","P1","커버드콜 키워드","not_started","not_started","not_started","배당형 우선 수집 후보. 실제 분배 및 TR 지원 여부는 공식 원천 검증 후 결정."
"KR7498860006","498860","RISE 코리아금융고배당","iSelect 코리아 금융 고배당 지수","37129286568","P1","고배당 키워드","not_started","not_started","not_started","배당형 우선 수집 후보. 실제 분배 및 TR 지원 여부는 공식 원천 검증 후 결정."
"KR7104530001","104530","KIWOOM 코리아고배당","MKF 웰스 고배당20","36133197321","P1","고배당 키워드","not_started","not_started","not_started","배당형 우선 수집 후보. 실제 분배 및 TR 지원 여부는 공식 원천 검증 후 결정."
"KR70138T0006","0138T0","RISE 미국S&P500데일리고정커버드콜","S&P500 10% Daily Fixed Covered Call Index","32502051831","P1","커버드콜 키워드","not_started","not_started","not_started","배당형 우선 수집 후보. 실제 분배 및 TR 지원 여부는 공식 원천 검증 후 결정."
"KR7245350004","245350","TIGER 유로스탁스배당30","Euro STOXX Select Dividend 30","31796785150","P1","배당 키워드","not_started","not_started","not_started","배당형 우선 수집 후보. 실제 분배 및 TR 지원 여부는 공식 원천 검증 후 결정."
"KR70107F0009","0107F0","KIWOOM 미국고배당&AI테크","Akros 미국AI테크TOP10&미국고배당3070 지수","30319960156","P1","고배당 키워드","not_started","not_started","not_started","배당형 우선 수집 후보. 실제 분배 및 TR 지원 여부는 공식 원천 검증 후 결정."
"KR7192720001","192720","파워 고배당저변동성","코스피 200 고배당지수","29727947522","P1","고배당 키워드","not_started","not_started","not_started","배당형 우선 수집 후보. 실제 분배 및 TR 지원 여부는 공식 원천 검증 후 결정."
"KR7289480006","289480","TIGER 200커버드콜","코스피 200 커버드콜 ATM 지수","28699451511","P1","커버드콜 키워드","not_started","not_started","not_started","배당형 우선 수집 후보. 실제 분배 및 TR 지원 여부는 공식 원천 검증 후 결정."
"KR7475380002","475380","RISE 글로벌리얼티인컴","Solactive Global Realty Income Index(Price Return)","28170687868","P1","기초지수 인컴 키워드","not_started","not_started","not_started","배당형 우선 수집 후보. 실제 분배 및 TR 지원 여부는 공식 원천 검증 후 결정."
"KR7493420004","493420","SOL 미국배당다우존스2호","Dow Jones U.S. Dividend 100 Index(TR)","27398541155","P1","배당 키워드","not_started","not_started","not_started","배당형 우선 수집 후보. 실제 분배 및 TR 지원 여부는 공식 원천 검증 후 결정."
"KR70013R0008","0013R0","RISE 테슬라미국채타겟커버드콜혼합(합성)","KEDI 테슬라미국30년국채15%타겟프리미엄 혼합지수(TR)","26910401939","P1","커버드콜 키워드","not_started","not_started","not_started","배당형 우선 수집 후보. 실제 분배 및 TR 지원 여부는 공식 원천 검증 후 결정."
"KR70115C0002","0115C0","RISE 미국고배당다우존스TOP10","Dow Jones U.S. High Dividend 10 Index","26502552406","P1","고배당 키워드","not_started","not_started","not_started","배당형 우선 수집 후보. 실제 분배 및 TR 지원 여부는 공식 원천 검증 후 결정."
"KR70097L0003","0097L0","KIWOOM 한국고배당&미국AI테크","Akros 미국AI테크TOP10&한국고배당3070 지수","25685713898","P1","고배당 키워드","not_started","not_started","not_started","배당형 우선 수집 후보. 실제 분배 및 TR 지원 여부는 공식 원천 검증 후 결정."
"KR70049K0003","0049K0","ACE 미국배당퀄리티채권혼합50","Bloomberg WisdomTree U.S. Quality Dividend & Short Term KRW Bonds 50:50 TR Index","25508562771","P1","배당 키워드","not_started","not_started","not_started","배당형 우선 수집 후보. 실제 분배 및 TR 지원 여부는 공식 원천 검증 후 결정."
"KR70153X0000","0153X0","PLUS 미국고배당주액티브","Akros 미국 고배당주 20 지수","22048834708","P1","고배당 키워드","not_started","not_started","not_started","배당형 우선 수집 후보. 실제 분배 및 TR 지원 여부는 공식 원천 검증 후 결정."
"KR70223A0003","0223A0","RISE 코스닥커버드콜액티브","코스닥 150 타겟 15% 위클리 커버드콜 지수","20925980268","P1","커버드콜 키워드","not_started","not_started","not_started","배당형 우선 수집 후보. 실제 분배 및 TR 지원 여부는 공식 원천 검증 후 결정."
"KR70104P0000","0104P0","TIGER 코리아배당다우존스위클리커버드콜","KRX 다우존스 코리아 배당 30 타겟 7% 위클리 커버드콜 지수","20246923482","P1","커버드콜 키워드","not_started","not_started","not_started","배당형 우선 수집 후보. 실제 분배 및 TR 지원 여부는 공식 원천 검증 후 결정."
"KR7213630007","213630","PLUS 미국다우존스고배당주(합성 H)","Dow Jones U.S Select Dividend Index(시장가격지수)","19404485839","P1","고배당 키워드","not_started","not_started","not_started","배당형 우선 수집 후보. 실제 분배 및 TR 지원 여부는 공식 원천 검증 후 결정."
"KR7487950008","487950","KODEX 대만테크고배당다우존스","Dow Jones Taiwan Technology Dividend 30 Index(TWD)(PR)","19265578107","P1","고배당 키워드","not_started","not_started","not_started","배당형 우선 수집 후보. 실제 분배 및 TR 지원 여부는 공식 원천 검증 후 결정."
"KR7460660004","460660","RISE 미국S&P배당킹","S&P Dividend Monarchs Index(Price Return)","17471683518","P1","배당 키워드","not_started","not_started","not_started","배당형 우선 수집 후보. 실제 분배 및 TR 지원 여부는 공식 원천 검증 후 결정."
"KR7494420003","494420","PLUS 미국배당증가성장주데일리커버드콜","Bloomberg U.S. Dividend Growth Partial Covered Call Index","17409276678","P1","커버드콜 키워드","not_started","not_started","not_started","배당형 우선 수집 후보. 실제 분배 및 TR 지원 여부는 공식 원천 검증 후 결정."
"KR70004G0002","0004G0","1Q 미국배당TOP30","Solactive U.S. Dividend TOP 30 Index PR","14258452329","P1","배당 키워드","not_started","not_started","not_started","배당형 우선 수집 후보. 실제 분배 및 TR 지원 여부는 공식 원천 검증 후 결정."
"KR7290080001","290080","RISE 200고배당커버드콜ATM","코스피 200 고배당커버드콜 ATM 지수(시장가격지수)","12768653641","P1","커버드콜 키워드","not_started","not_started","not_started","배당형 우선 수집 후보. 실제 분배 및 TR 지원 여부는 공식 원천 검증 후 결정."
"KR7251590006","251590","PLUS 고배당저변동50","FnGuide 고배당저변동50 지수","11959138928","P1","고배당 키워드","not_started","not_started","not_started","배당형 우선 수집 후보. 실제 분배 및 TR 지원 여부는 공식 원천 검증 후 결정."
"KR7166400002","166400","TIGER 200커버드콜OTM","코스피 200 커버드콜 5% OTM","11660593735","P1","커버드콜 키워드","not_started","not_started","not_started","배당형 우선 수집 후보. 실제 분배 및 TR 지원 여부는 공식 원천 검증 후 결정."
"KR70094L0006","0094L0","RISE 차이나테크TOP10위클리타겟커버드콜","Bloomberg China Tech Select TOP 10 + 12% Target Premium Weekly Index","11531927548","P1","커버드콜 키워드","not_started","not_started","not_started","배당형 우선 수집 후보. 실제 분배 및 TR 지원 여부는 공식 원천 검증 후 결정."
"KR70222D0001","0222D0","KoAct 고배당액티브","코스피 200 고배당지수","11489696893","P1","고배당 키워드","not_started","not_started","not_started","배당형 우선 수집 후보. 실제 분배 및 TR 지원 여부는 공식 원천 검증 후 결정."
"KR70189Z0006","0189Z0","DAISHIN343 금융&지주고배당","KRX-Akros 금융 & 지주 고배당 지수","10200869231","P1","고배당 키워드","not_started","not_started","not_started","배당형 우선 수집 후보. 실제 분배 및 TR 지원 여부는 공식 원천 검증 후 결정."
"KR70203D0004","0203D0","PLUS 200위클리커버드콜채권혼합","코스피 200 KTB 혼합 위클리 고정 10% 커버드콜 지수","9881855514","P1","커버드콜 키워드","not_started","not_started","not_started","배당형 우선 수집 후보. 실제 분배 및 TR 지원 여부는 공식 원천 검증 후 결정."
"KR7281990002","281990","RISE 중소형고배당","FnGuide 중소형고배당포커스 지수","9802751231","P1","고배당 키워드","not_started","not_started","not_started","배당형 우선 수집 후보. 실제 분배 및 TR 지원 여부는 공식 원천 검증 후 결정."
"KR7270800006","270800","RISE KQ고배당","FnGuide KQ고배당포커스 지수","8700938000","P1","고배당 키워드","not_started","not_started","not_started","배당형 우선 수집 후보. 실제 분배 및 TR 지원 여부는 공식 원천 검증 후 결정."
"KR70176P0003","0176P0","FOCUS AI반도체위클리고정커버드콜","AI 반도체 위클리 고정 30% 커버드콜 지수","8199860782","P1","커버드콜 키워드","not_started","not_started","not_started","배당형 우선 수집 후보. 실제 분배 및 TR 지원 여부는 공식 원천 검증 후 결정."
